v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
11,0,COG0016,25,1.0,1.0,1,2.275978108108108,4.13463757376493,4.594072456307231,0.1533942508752817
11,1,COG0016,25,1.0,1.0,1,2.7991931081081085,2.425765663949484,0.5428535300495381,0.14948419340118446
11,2,COG0016,25,1.0,1.0,1,2.9561718918918922,1.7406446353406981,1.6866555047684442,0.1483318177723687
11,3,COG0016,25,1.0,1.0,1,0.28776927027027027,0.5561053471761719,0.09786948408228535,0.16927196940645237
11,4,COG0016,25,1.0,1.0,1,0.0,0.5869286701955029,0.3694873648093329,0.17171089207660084
11,5,COG0016,25,1.0,1.0,1,0.0,0.5934114913330609,0.37871999477147855,0.17171089207660084
0,0,COG0016,3,1.0,1.0,0,12.217083513513515,7.540022897942128,23.35196105961408,0.09458007139131754
0,1,COG0016,3,1.0,1.0,0,2.459116621621622,4.853186624483002,6.28740493553517,0.15201341843205454
0,2,COG0016,3,1.0,1.0,0,0.313929,3.1423075629111716,8.267318343229473,0.16905208871134675
0,3,COG0016,3,1.0,1.0,0,0.0,1.5591620658723104,2.4759696076070488,0.17171089207660084
0,4,COG0016,3,1.0,1.0,0,0.0,0.5900079519403362,0.3731082835222766,0.17171089207660084
0,5,COG0016,3,1.0,1.0,0,0.4708935,0.9281492290570332,0.2401871188977684,0.1677391031073081
2,0,COG0016,7,1.0,1.0,0_1,57.13014256756757,58.75440186350451,13.709449323310535,0.012750119782697042
2,1,COG0016,7,1.0,1.0,0_1,39.64191891891892,36.62889889279976,13.89955117673438,0.026874770892071482
2,2,COG0016,7,1.0,1.0,0_1,39.68713783783784,24.57441512473516,230.7084280748054,0.026821496749069806
2,3,COG0016,7,1.0,1.0,0_1,7.57019777027027,10.640980944178274,10.05763348332328,0.11834939531778997
2,4,COG0016,7,1.0,1.0,0_1,3.2959664189189195,5.926984642467966,7.1693671792050795,0.14586958946943832
