v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
0,0,COG0016,3,1.0,1.0,0_1_2,265.044794054054,263.09601358135603,1381.1578848363588,4.121480807328978e-05
0,1,COG0016,3,1.0,1.0,0_1_2,236.24844810810814,180.6126064465796,3798.492459289632,5.234987834112131e-05
0,2,COG0016,3,1.0,1.0,0_1_2,450.9233729729731,488.2032511424486,5462.528819391578,2.1150262851958955e-05
0,3,COG0016,3,1.0,1.0,0_1_2,416.37638918918924,377.20314754532484,4206.327130564033,2.2320592654283755e-05
0,4,COG0016,3,1.0,1.0,0_1_2,173.24147135135135,143.77538837454549,1293.5160622626427,0.00012464817950207514
0,5,COG0016,3,1.0,1.0,0_1_2,117.59811621621621,98.18687280113107,551.635946765364,0.00047924545675869504
0,6,COG0016,3,1.0,1.0,0_1_2,399.33486486486487,342.01105750334835,5256.773937303996,2.3133613097028838e-05
0,7,COG0016,3,1.0,1.0,0_1_2,333.12970270270273,245.64779865542923,8802.587159203762,2.8540488901322107e-05
0,8,COG0016,3,1.0,1.0,0_1_2,421.2450108108108,375.5725884209141,4412.45066445876,2.211975061025006e-05
0,9,COG0016,3,1.0,1.0,0_1_2,287.8232,239.57524796567938,3445.583073026431,3.564486156350901e-05
1,0,COG0048,3,1.0,1.0,0_1_2,342.98029729729734,285.5056171739261,4591.558758675827,2.7442180222598603e-05
1,1,COG0048,3,1.0,1.0,0_1_2,197.63265945945946,195.04569751016174,591.5039822668515,8.320891577757121e-05
1,2,COG0048,3,1.0,1.0,0_1_2,592.5488918918919,528.606365422239,7717.558965796878,1.995374317332233e-05
1,3,COG0048,3,1.0,1.0,0_1_2,506.9775135135135,409.10523124033625,12044.871236693934,2.02117113358238e-05
1,4,COG0048,3,1.0,1.0,0_1_2,199.91499594594598,155.88210451813148,2322.539210768776,8.050979173010576e-05
1,5,COG0048,3,1.0,1.0,0_1_2,114.47127702702703,106.0326770348012,229.07850364683657,0.0005276130326757448
1,6,COG0048,3,1.0,1.0,0_1_2,423.60628378378385,370.2055835797934,4623.911813188731,2.2026975070926313e-05
1,7,COG0048,3,1.0,1.0,0_1_2,318.5724864864865,266.41632997244056,3797.9010344650055,3.041754096792911e-05
1,8,COG0048,3,1.0,1.0,0_1_2,496.6574324324325,406.53519172415434,10294.834030976506,2.0317707707915283e-05
1,9,COG0048,3,1.0,1.0,0_1_2,320.99575675675675,259.0789094609959,4784.115600893521,3.008212406998866e-05
2,0,COG0049,3,1.0,1.0,,1.7527712702702702,0.45499319366739815,1.724163029185513,0.11138351747834502
2,1,COG0049,3,1.0,1.0,,0.0,0.32357390803468866,0.13403582656654736,0.1251783736930039
2,2,COG0049,3,1.0,1.0,,5.441448243243244,1.9982640901434365,11.955396011502867,0.08744721316902794
2,3,COG0049,3,1.0,1.0,,2.2498183783783783,1.0045546900411118,1.6095865116670762,0.10777867058365012
2,4,COG0049,3,1.0,1.0,,0.0,0.35049186914464614,0.1514060404405769,0.1251783736930039
2,5,COG0049,3,1.0,1.0,,0.0,0.22112980237122498,0.06654351757401772,0.1251783736930039
