contig_id,cluster_id
NODE_1_length_174676_cov_75.610868.0,8
NODE_1_length_174676_cov_75.610868.1,8
NODE_1_length_174676_cov_75.610868.2,8
NODE_1_length_174676_cov_75.610868.3,8
NODE_1_length_174676_cov_75.610868.4,8
NODE_1_length_174676_cov_75.610868.5,8
NODE_1_length_174676_cov_75.610868.6,8
NODE_1_length_174676_cov_75.610868.7,8
NODE_1_length_174676_cov_75.610868.8,8
NODE_1_length_174676_cov_75.610868.9,8
NODE_1_length_174676_cov_75.610868.10,8
NODE_1_length_174676_cov_75.610868.11,8
NODE_1_length_174676_cov_75.610868.12,8
NODE_1_length_174676_cov_75.610868.13,8
NODE_1_length_174676_cov_75.610868.14,8
NODE_1_length_174676_cov_75.610868.15,8
NODE_2_length_162612_cov_78.117187.0,8
NODE_2_length_162612_cov_78.117187.1,8
NODE_2_length_162612_cov_78.117187.2,8
NODE_2_length_162612_cov_78.117187.3,8
NODE_2_length_162612_cov_78.117187.4,8
NODE_2_length_162612_cov_78.117187.5,8
NODE_2_length_162612_cov_78.117187.6,8
NODE_2_length_162612_cov_78.117187.7,8
NODE_2_length_162612_cov_78.117187.8,8
NODE_2_length_162612_cov_78.117187.9,8
NODE_2_length_162612_cov_78.117187.10,8
NODE_2_length_162612_cov_78.117187.11,8
NODE_2_length_162612_cov_78.117187.12,8
NODE_2_length_162612_cov_78.117187.13,8
NODE_2_length_162612_cov_78.117187.14,8
NODE_3_length_156794_cov_85.676493.0,8
NODE_3_length_156794_cov_85.676493.1,8
NODE_3_length_156794_cov_85.676493.2,8
NODE_3_length_156794_cov_85.676493.3,8
NODE_3_length_156794_cov_85.676493.4,8
NODE_3_length_156794_cov_85.676493.5,8
NODE_3_length_156794_cov_85.676493.6,8
NODE_3_length_156794_cov_85.676493.7,8
NODE_3_length_156794_cov_85.676493.8,8
NODE_3_length_156794_cov_85.676493.9,8
NODE_3_length_156794_cov_85.676493.10,8
NODE_3_length_156794_cov_85.676493.11,8
NODE_3_length_156794_cov_85.676493.12,8
NODE_3_length_156794_cov_85.676493.13,8
NODE_4_length_156707_cov_15.332159.0,1
NODE_4_length_156707_cov_15.332159.1,1
NODE_4_length_156707_cov_15.332159.2,1
NODE_4_length_156707_cov_15.332159.3,1
NODE_4_length_156707_cov_15.332159.4,1
NODE_4_length_156707_cov_15.332159.5,1
NODE_4_length_156707_cov_15.332159.6,1
NODE_4_length_156707_cov_15.332159.7,1
NODE_4_length_156707_cov_15.332159.8,1
NODE_4_length_156707_cov_15.332159.9,1
NODE_4_length_156707_cov_15.332159.10,1
NODE_4_length_156707_cov_15.332159.11,1
NODE_4_length_156707_cov_15.332159.12,1
NODE_4_length_156707_cov_15.332159.13,1
NODE_5_length_138743_cov_15.678321.0,1
NODE_5_length_138743_cov_15.678321.1,1
NODE_5_length_138743_cov_15.678321.2,1
NODE_5_length_138743_cov_15.678321.3,1
NODE_5_length_138743_cov_15.678321.4,1
NODE_5_length_138743_cov_15.678321.5,1
NODE_5_length_138743_cov_15.678321.6,1
NODE_5_length_138743_cov_15.678321.7,1
NODE_5_length_138743_cov_15.678321.8,1
NODE_5_length_138743_cov_15.678321.9,1
NODE_5_length_138743_cov_15.678321.10,1
NODE_5_length_138743_cov_15.678321.11,1
NODE_5_length_138743_cov_15.678321.12,1
NODE_6_length_125980_cov_87.281550.0,8
NODE_6_length_125980_cov_87.281550.1,8
NODE_6_length_125980_cov_87.281550.2,8
NODE_6_length_125980_cov_87.281550.3,8
NODE_6_length_125980_cov_87.281550.4,8
NODE_6_length_125980_cov_87.281550.5,8
NODE_6_length_125980_cov_87.281550.6,8
NODE_6_length_125980_cov_87.281550.7,8
NODE_6_length_125980_cov_87.281550.8,8
NODE_6_length_125980_cov_87.281550.9,8
NODE_6_length_125980_cov_87.281550.10,8
NODE_7_length_116193_cov_15.825812.0,1
NODE_7_length_116193_cov_15.825812.1,1
NODE_7_length_116193_cov_15.825812.2,1
NODE_7_length_116193_cov_15.825812.3,1
NODE_7_length_116193_cov_15.825812.4,1
NODE_7_length_116193_cov_15.825812.5,1
NODE_7_length_116193_cov_15.825812.6,1
