Annotation	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
COG0016	130.6998969	22.386249300000003	90.0967297	80.87226580000001	24.6007125	19.3695071	48.0000344	36.7742353	50.2148275	37.6583986
COG0048	151.47121040000002	17.5839922	108.1914129	80.7968712	27.6444349	17.3489229	46.4481294	37.7716021	48.927973300000005	42.344403299999996
COG0049	143.6631899	24.117517	100.3574605	85.18887659999999	25.333044100000002	14.743618399999999	46.86432740000001	33.9223621	48.922050000000006	38.773889100000005
COG0051	125.2155018	17.6266234	96.5495477	79.34895589999999	23.7747543	13.922512099999999	45.1180846	31.607143	43.7836663	28.9220787
COG0052	132.8529338	23.083751200000002	99.372776	76.3379205	29.8254032	21.0451561	45.9748971	31.6801068	54.834239100000005	33.1713367
COG0060	141.79561710000002	21.4572157	101.7897931	80.85989000000001	21.138938	19.6841632	43.2681393	30.074008900000003	46.8838014	30.337284500000003
COG0072	119.8041792	14.699973799999999	74.39540950000001	68.4681148	20.479914700000002	17.8839432	31.011797899999998	23.0871269	31.9895332	25.1283283
COG0080	138.46409509999998	22.0520722	98.4005994	77.74510910000001	24.085633999999995	15.2598474	36.5692913	30.310727399999998	45.1487513	30.136531400000003
COG0081	140.3133555	16.530201899999998	76.64405020000001	68.06332450000001	18.0168379	14.414820800000001	29.166942499999998	29.1029901	41.780070300000006	24.1724496
COG0087	130.053895	17.299182599999998	107.16107170000001	67.7969808	23.6756825	15.331376800000001	46.05987	25.4133501	41.6806397	33.4000974
COG0088	128.2394733	13.7005158	87.80932229999999	60.310178699999994	21.8865447	16.4040121	32.477417700000004	27.790505500000002	40.8825288	31.7829623
COG0089	125.3159131	19.276127000000002	90.30669499999999	78.75416759999999	22.2276314	13.9574402	50.2377857	38.8217487	44.4675049	28.4611411
COG0090	139.5400009	22.9992807	99.0242986	71.10006279999999	23.1345017	14.9023252	45.7323565	32.5317195	49.279116800000004	34.9809814
COG0091	129.3875465	23.4807856	93.3194141	93.9733753	23.8238845	17.9761658	56.1272156	29.2975025	60.326777	32.394378599999996
COG0092	127.9155942	18.9821661	106.5280146	87.237608	22.1851702	13.4505705	48.8045812	31.0171317	48.2481289	33.0168862
COG0093	138.1793594	27.0747903	102.3643551	71.2457929	24.573328699999998	20.4053011	55.9685516	36.350662899999996	50.5610766	31.9968591
COG0094	125.46653830000001	8.1564347	69.5662002	51.1207762	14.3692822	13.1239573	23.0912873	16.4375305	23.6492396	14.900393000000001
COG0096	119.5698719	20.4862571	86.0256051	69.9642606	18.5546033	16.3510764	27.136702300000003	25.3187031	42.1083622	22.146933100000002
COG0097	127.7033348	21.5238518	76.5171804	71.72794870000001	14.6423938	8.9361435	30.5896778	25.3082719	43.043008300000004	27.1976514
COG0100	132.2853774	18.174020300000002	91.16002660000001	77.5905128	22.3225902	13.6239896	39.9633865	33.6479993	44.5101776	32.3716025
COG0102	126.9807167	19.480906599999997	99.85030549999999	67.1130734	30.675866999999997	13.4116996	47.899724500000005	29.3477968	39.2797885	36.995172499999995
COG0103	147.6899167	24.704152099999998	119.3711338	68.11408420000001	24.1994757	16.435952699999998	48.9636781	31.6384849	44.4538989	34.1596012
COG0130	126.2278614	16.0539174	90.60555839999999	70.4322113	21.9632085	14.907228400000001	33.3697736	31.928690600000003	29.4402239	25.5227975
COG0184	132.8069382	18.3616875	80.2930116	72.4389391	22.2139855	18.6075956	35.4009003	24.137742	31.3252493	19.599111100000002
COG0185	140.921607	23.2012103	96.05635459999999	85.6161068	22.916600199999998	14.9218211	57.2190315	27.8229779	54.4292684	29.002183
COG0186	119.06411270000001	20.8700976	90.0497331	69.9143358	15.2611274	17.0002141	38.368122400000004	25.934846399999998	43.4513874	30.0124341
COG0197	144.7822199	20.206190300000003	110.3169231	78.8029151	22.600705599999998	18.800100399999998	50.5388121	27.3904267	44.893342700000005	34.7334252
COG0198	116.0722999	18.2671411	82.63481519999999	58.6269493	13.998166	14.1379242	38.914987499999995	29.3676557	49.246973499999996	30.8086071
COG0200	127.2059002	16.2141691	74.5151702	63.574985999999996	17.358071600000002	15.731912999999999	42.5583818	23.9422333	32.5900045	19.9558444
COG0201	122.6407156	19.5362018	93.1323281	71.90130909999999	19.1186998	18.679434	42.396369699999994	33.8408655	42.8922496	29.4453493
COG0244	127.268281	11.3072251	63.0062861	54.5225162	14.8381449	15.780579699999999	26.9210781	16.6168962	28.3606492	22.4267516
COG0256	117.4159531	19.7393991	94.0494528	88.0577955	19.374829	18.1164542	50.3997023	32.052529400000005	43.7952094	33.5935164
COG0504	110.4310779	22.975676800000002	81.5284958	69.3049908	20.3473057	16.372798500000002	38.226376	23.9850044	35.0608272	29.217822599999998
COG0532	126.9461517	20.642889	95.6937408	76.0182075	24.439478899999997	16.4922412	50.4704414	30.4794664	46.991236199999996	32.7736425
COG0541	140.0661087	21.464945	83.31768899999999	73.90512559999999	21.513462099999998	17.651409700000002	39.003268899999995	29.968242800000002	37.3573853	26.647134800000003
COG0552	135.6365128	18.0643707	78.547409	75.6675602	21.2233018	16.892589299999997	37.5738225	27.768915200000002	33.1504731	27.1403453
