cov	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
NODE_1_length_174676_cov_75.610868_92	89.4166183	2.607641	34.035778	32.8459663	6.647059	8.7040634	5.9053974	3.0927835	3.1346271	7.2668285
NODE_2_length_162612_cov_78.117187_62	92.7617416	1.7097316	40.2533569	29.6761742	6.6023488	6.736577	6.8238254	5.7986579	7.02349	5.9966445
NODE_2_length_162612_cov_78.117187_66	95.4289246	3.0798006	38.6059837	23.3192024	5.199501	5.2119699	5.8827929	5.3391523	6.1197009	8.1596012
NODE_2_length_162612_cov_78.117187_67	85.2606659	0.5094787	33.7014236	26.1398106	7.7843604	2.9431279	4.9336491	3.8720379	6.706161	9.2061615
NODE_2_length_162612_cov_78.117187_70	85.663269	1.1020408	43.25	31.0969391	4.1709185	3.0892856	5.7474489	4.6428571	8.8469391	6.4821429
NODE_2_length_162612_cov_78.117187_73	85.4355545	1.1891892	39.7546768	33.3201675	6.0031185	6.3825364	4.7900209	7.502079	3.4158003	5.3097715
NODE_2_length_162612_cov_78.117187_79	84.6306	2.1753731	36.3380585	28.7179108	3.1141791	5.7701492	5.3216419	5.8820896	4.1574626	6.6932836
NODE_2_length_162612_cov_78.117187_80	94.5583496	0.6132723	27.6636162	28.1052628	4.2356977	7.3157897	7.1967964	3.1372998	5.2379861	4.2562928
NODE_2_length_162612_cov_78.117187_83	85.2271957	1.6196214	41.8950081	31.7039585	4.3166952	5.9449224	6.0740104	3.3132529	5.0654044	7.8915663
NODE_2_length_162612_cov_78.117187_86	86.9808731	4.8469567	30.8208694	32.220871	3.627826	3.3026087	5.8208694	4.3913045	6.9634781	6.3095651
NODE_2_length_162612_cov_78.117187_87	87.7474518	3.3571429	36.8163261	29.7551022	4.7091837	6.2627549	4.4489794	4.0867348	6.5051022	5.0127549
NODE_2_length_162612_cov_78.117187_88	97.2593307	0.7976424	40.5167007	28.8467579	4.0039291	6.9155207	6.5972495	4.7838898	4.6463656	6.8133597
NODE_2_length_162612_cov_78.117187_90	92.2011337	2.0708215	37.6685562	27.5042496	3.6147308	6.2606235	9.3597736	4.5609064	5.8328614	5.9405098
NODE_2_length_162612_cov_78.117187_91	95.2788925	3.3492463	42.1582909	25.6130657	6.9170856	4.6407037	6.2110553	6.1407037	3.9070351	5.3718591
NODE_2_length_162612_cov_78.117187_92	82.6246033	2.2397475	35.9968452	29.520504	3.3596215	5.6372242	4.053628	5.5457416	5.7665615	5.7634068
NODE_2_length_162612_cov_78.117187_96	88.7936783	0.7478261	43.8727264	35.8584976	5.9739132	5.5446639	5.7802372	5.0237155	5.4932804	6.4434781
NODE_2_length_162612_cov_78.117187_97	90.9825363	2.080786	35.1244545	36.681221	4.0196505	8.6593885	6.4366813	4.713974	4.6703057	4.8602619
NODE_2_length_162612_cov_78.117187_98	93.9926834	2.1560977	37.4365845	32.9609756	4.612195	7.7560978	6.1682925	6.2097559	2.4292684	4.2390242
NODE_2_length_162612_cov_78.117187_99	94.4675827	2.3172414	36.7213783	27.2220688	5.3958621	3.7434483	6.0993104	3.7296553	3.9227586	6.7406898
NODE_2_length_162612_cov_78.117187_100	85.842308	1.4692308	35.9692307	36.3730774	5.1423078	4.2615385	4.3192306	5.476923	7.1192307	6.3576922
NODE_2_length_162612_cov_78.117187_101	86.6332474	1.9720812	36.7842636	28.6700516	5.6472082	5.3515229	4.4949241	4.3972082	7.2131982	5.6967006
NODE_2_length_162612_cov_78.117187_102	91.8821793	0.1821782	40.1366348	28.2861385	5.6920791	6.2821784	5.6029701	3.3930693	6.0425744	7.5217824
NODE_5_length_138743_cov_15.678321_43	20.4195976	0.0	7.849246	5.4271355	0.0	1.1683418	2.0075376	1.1306533	0.0	0.0
NODE_5_length_138743_cov_15.678321_44	14.6976748	0.0	7.2342191	6.9850497	1.435216	1.3455149	3.1627908	0.0	0.0	0.0
NODE_5_length_138743_cov_15.678321_47	10.7707005	0.0	6.7898088	2.9203823	2.7292993	0.477707	1.1050955	0.0	0.6050956	0.0
NODE_5_length_138743_cov_15.678321_66	16.4318771	0.0	5.4524422	2.4910026	1.933162	1.5372751	2.9100256	0.0	0.0	0.0
NODE_5_length_138743_cov_15.678321_81	12.2932043	0.0	11.0679607	3.2660193	1.9029126	0.4873786	1.4854369	0.0	0.0	0.0
NODE_6_length_125980_cov_87.281550_48	102.3713684	2.6556017	42.2489624	43.7863083	6.2883816	7.3174272	6.6721992	5.6327801	3.3215768	5.6016598
NODE_7_length_116193_cov_15.825812_33	14.0080214	0.0	6.9451871	7.7098932	2.1811497	0.802139	2.9131017	0.2954545	0.0	0.0
NODE_7_length_116193_cov_15.825812_38	15.9836235	0.3070624	9.6704197	5.0767655	2.7850564	1.1054248	2.5946777	0.7441146	0.0	0.0
NODE_7_length_116193_cov_15.825812_41	11.7967424	0.1947883	8.8618889	4.7543974	1.9263843	1.2879479	1.9928339	0.1954397	0.0	0.0
NODE_7_length_116193_cov_15.825812_42	13.817955	0.0	8.2842894	4.3665833	2.3017457	1.0798005	2.850374	0.0	0.0	0.0
