contig	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
NODE_85_length_19958_cov_88.708214	19.4598122	12.6792440	31.8365402	26.6959305	11.8400984	7.1491280	24.9812584	17.7667866	26.9077969	15.0610342
NODE_86_length_19578_cov_79.157889	16.8414898	11.2512770	29.5093479	23.5629349	9.5610437	6.6228032	22.3042507	16.4959641	25.2521973	14.4328766
NODE_87_length_19394_cov_15.324377	13.7560329	0.0000000	8.9281664	5.5218649	2.5053630	1.5625516	1.8284343	0.2475248	0.0151609	0.0000000
NODE_88_length_18877_cov_14.061383	12.0703573	0.0000000	7.6428080	5.3878145	2.6462517	1.6116027	2.3612185	0.4286622	0.0000000	0.0156291
NODE_89_length_18731_cov_68.749759	14.6717386	9.3119764	25.1009121	20.9919910	8.9420681	5.4102731	18.8491650	13.7868547	23.3095207	12.3144321
NODE_90_length_18646_cov_86.237923	18.6307659	12.5948296	32.3253593	24.4576263	10.5776653	6.6650395	24.4444332	17.8262711	26.2259712	15.8574343
NODE_91_length_18299_cov_90.055921	19.7944469	13.4616604	35.4364662	27.2389469	11.2968788	7.2029843	24.8529816	18.0612659	28.6724606	16.3939991
NODE_92_length_18148_cov_93.895191	20.0736809	15.0219879	35.5068893	27.7366371	11.8103161	7.3987656	26.2308502	19.9694691	29.9827518	17.1614685
NODE_93_length_18093_cov_92.739842	19.1963959	13.9568844	35.0857887	27.9294128	12.5300426	7.5868111	25.7157707	18.9874516	29.2644958	18.4249630
NODE_94_length_17947_cov_82.703581	85.0149918	2.7792699	34.5139046	29.6641407	5.0079131	6.1519084	6.4091392	3.9793258	5.3597102	4.9974923
NODE_95_length_17589_cov_99.665315	19.3871613	15.0780687	38.0548134	31.2415981	12.8499460	8.0540743	27.1236134	21.1764374	31.1578999	19.4795017
NODE_96_length_17432_cov_100.036070	22.0796909	14.4370050	37.5264473	31.0730343	12.4911642	7.3308663	27.6630516	20.7661495	30.7617321	19.3224335
NODE_97_length_17181_cov_75.643534	16.3461208	11.6718664	27.0023861	22.6154022	9.1707315	5.8819489	20.2145634	15.0570459	22.2636948	15.1452932
NODE_98_length_17144_cov_108.543857	22.5583363	15.9621983	41.6810760	33.1820107	13.1729670	7.9460392	30.0135345	22.5697708	34.6999779	20.2748222
NODE_99_length_17036_cov_100.009611	20.9845600	14.7799110	38.5580025	29.7068214	12.2351179	8.0763769	28.2882462	20.6935539	30.7547836	17.9625454
NODE_100_length_16440_cov_72.171362	15.9257212	10.1315241	26.4192123	21.0370483	9.4933081	5.8117166	19.1523914	15.2558098	23.7193699	13.2310495
NODE_101_length_16387_cov_16.036787	14.2815990	0.0363747	9.5689354	6.1576443	2.3691182	1.0519377	2.3378091	0.2100092	0.0366189	0.0183094
NODE_102_length_16317_cov_74.125554	14.2324238	11.4671774	28.4519768	21.4072933	9.2142811	6.7458782	19.8831749	16.4870987	24.3507195	15.0622129
NODE_103_length_15960_cov_11.121514	9.3779926	0.0187993	5.0951872	4.7418222	2.2878807	1.2586163	1.6811631	0.3561223	0.0751974	0.0000000
NODE_104_length_15774_cov_97.478117	93.3728104	2.8647604	38.8075066	32.8172722	5.6221151	6.6052499	6.8473878	5.2740297	6.1254754	5.7817016
NODE_105_length_15670_cov_82.357404	18.4158154	12.3971148	30.8807125	25.3749676	9.7113867	6.2275338	21.9285812	17.5453796	27.0280190	14.9964895
NODE_106_length_15625_cov_81.699961	16.7402554	12.6508350	31.4257832	24.7576008	9.6685658	6.8844652	22.1703892	17.2087955	26.2468147	15.1639891
NODE_107_length_15495_cov_82.436373	17.0469894	12.9051180	32.3673935	25.1049500	9.9559803	6.8102369	21.7545338	17.6324139	26.6527462	14.4444590
NODE_108_length_15443_cov_80.435312	17.9816723	12.2471991	29.2484951	23.8978043	10.7500162	6.6245708	21.8171101	15.9094620	24.6804619	15.0689077
NODE_109_length_15321_cov_57.529389	12.3929758	7.9962792	21.1795158	17.9805470	7.4946799	4.7516809	14.9881191	13.1722698	17.9814606	9.8632421
NODE_110_length_15222_cov_93.632684	18.9412613	14.5701056	35.7043381	27.7821293	11.5802889	7.2432981	26.1377144	19.2653084	29.7950058	18.4816036
NODE_111_length_15209_cov_86.841396	17.6524620	13.0240679	34.0007248	26.0195961	10.4622211	7.3268232	23.8629570	18.6175442	27.3878479	16.4541988
NODE_112_length_15182_cov_64.197881	14.3309622	9.4190378	23.9820156	18.8807640	7.5999999	4.7923584	17.3442020	13.5155468	21.2864304	12.3960476
NODE_113_length_15166_cov_86.275366	86.3301926	2.9254155	35.1782494	31.9887886	5.5551305	6.2486811	6.4026642	4.9918885	5.5383143	5.8584146
NODE_114_length_15148_cov_9.917258	10.1191730	0.4159514	4.3937674	4.2580218	0.7587482	0.8203486	0.8272811	0.4717417	0.4650073	0.5435759
NODE_115_length_15064_cov_86.557283	19.7574692	12.3336210	32.8796310	27.6357059	11.4897757	7.2062144	22.2888718	17.9899750	26.5391712	15.2441244
NODE_116_length_14577_cov_97.124414	21.0492630	13.2583876	36.7445641	28.8735504	11.3005142	8.2416468	26.5613728	20.6099491	31.6093998	17.4030190
NODE_117_length_14156_cov_88.379643	13.5823793	12.4688425	30.5581455	21.8521271	10.4342937	6.4287128	22.6581173	16.7760353	23.0160370	14.7465029
NODE_118_length_14003_cov_100.052061	20.9307899	14.9864292	38.1947708	29.1692734	13.3944721	8.2374830	27.7659454	20.6672382	31.8435822	18.9760017
NODE_119_length_13810_cov_81.299643	18.0023899	11.3510284	30.4658165	24.7117615	10.2815762	6.8953505	21.7730293	17.7794762	25.3009853	15.1289835
NODE_120_length_13670_cov_62.187449	14.9965611	8.6442785	23.6275978	19.5247288	7.4316654	4.3387475	17.6797638	10.9824409	21.4720516	10.8628187
NODE_121_length_13568_cov_75.575421	78.4532623	2.1878226	30.1892223	27.1612854	5.5524840	6.0653105	5.5451865	4.0846972	4.9009290	5.0443754
NODE_122_length_13567_cov_86.434618	19.3469219	12.6667156	32.9766312	24.8669376	10.1399927	7.8356800	21.9189091	18.8097305	28.2917805	16.5752296
NODE_123_length_13522_cov_7.110450	5.0243344	0.0000000	4.4459319	4.2969675	1.6097633	0.7607988	0.4412722	0.0443787	0.0110947	0.0000000
NODE_124_length_13217_cov_102.314840	20.8049946	16.2438889	40.1439285	32.2261810	12.4592505	8.6930761	27.3489971	21.5223618	30.8944378	18.4920921
NODE_125_length_13145_cov_76.824686	13.9047403	13.6192646	30.6209393	22.1348248	11.8730125	6.8065891	21.4020386	15.2033787	21.4093437	16.1708126
NODE_126_length_13091_cov_95.183879	20.1136074	13.3573990	36.5705566	30.4646645	12.9969444	6.9906030	27.0135994	20.3820000	28.6835518	17.0064945
NODE_127_length_12763_cov_101.184613	101.7521362	3.1398792	42.3480911	36.5464287	6.2563281	7.3732467	6.3481703	5.2792883	5.8297157	7.2607164
NODE_128_length_12757_cov_82.799054	17.5821247	12.7777338	31.1832218	24.5785179	10.3696594	6.8917289	22.8389645	16.9012928	26.4838886	15.0598192
NODE_129_length_12742_cov_98.684801	18.9990578	14.9704084	36.1519623	31.0796700	11.5456047	7.4755888	27.5420723	19.2700939	29.9259033	18.3273945
NODE_130_length_12731_cov_76.522681	17.1648197	10.2418890	27.4174728	23.9126396	10.6582603	6.3429961	21.7190666	15.7074394	24.6547260	12.2775555
NODE_131_length_12298_cov_49.382456	14.9687700	3.7897689	16.2051888	18.5901928	3.6402082	2.0826285	10.4988613	11.4938192	22.8554821	5.7552052
NODE_132_length_12247_cov_77.169269	16.5491219	12.0467949	30.1398125	22.8246632	10.0214777	6.2512045	21.0377293	16.5020828	24.2750511	13.7270727
NODE_133_length_12165_cov_82.745864	16.7969246	12.9506702	31.9781303	25.6558418	9.8671379	6.4855709	22.8236446	16.3300171	27.1943607	15.6315880
NODE_134_length_12151_cov_82.742587	86.8206406	2.2449584	34.0339928	29.3090782	5.0977859	6.3683429	5.8664908	4.4639888	5.0321836	5.2435594
NODE_135_length_12064_cov_87.861266	18.2305584	12.7143097	33.3207588	26.0851440	11.8386669	7.0339084	24.0182400	17.3448009	28.6446686	17.7410049
NODE_136_length_11995_cov_109.429183	22.3606262	16.7517719	40.2133751	33.1660118	13.8808470	9.0697069	31.0731258	22.6678066	33.0434418	20.7613602
NODE_137_length_11504_cov_109.690732	23.3879318	17.0678139	44.3175087	31.0573807	14.0446882	9.1021557	30.1229343	22.9320984	32.5091286	21.1856194
NODE_138_length_11390_cov_83.137806	17.1685982	11.5922899	30.6375141	25.8135757	10.2214613	6.4530206	23.4162273	17.4856873	26.4924488	16.8916397
NODE_139_length_11374_cov_87.003275	43.9607811	1.5394830	17.2441082	14.3640518	2.6435983	3.4454801	3.4873374	2.5028138	2.6997890	3.1366515
NODE_140_length_11264_cov_15.934746	14.9298525	0.0266383	9.4704313	5.7710886	2.3295152	1.1771444	1.7023619	0.3700941	0.0531877	0.0266383
NODE_141_length_10909_cov_8.541544	2.3705876	0.3300633	2.6983588	3.9224350	0.7640964	0.0137526	1.0165032	0.6868984	6.5827451	1.0980104
NODE_142_length_10700_cov_74.727761	15.6485329	10.6482515	28.2222843	22.8941860	9.7401381	6.5055151	20.8995132	15.5578613	24.7007847	12.8736210
NODE_143_length_10680_cov_11.499859	14.4348192	0.1119123	3.2915339	4.0241618	0.6175314	0.8400450	0.4475557	0.1663233	0.5338078	0.3226260
NODE_144_length_10623_cov_104.355964	23.4050465	14.6249886	41.3099518	31.0175133	13.2450809	7.9346576	27.8028431	20.8457775	32.0795593	20.0684490
NODE_145_length_10581_cov_84.191927	83.4093933	2.3456848	34.8655815	32.3077812	5.6079025	6.8462048	6.0572834	4.8123641	5.0867758	5.6301165
NODE_146_length_10543_cov_72.418211	15.8603544	10.3819370	27.5717678	21.8822689	9.4228249	6.0227680	19.0822506	15.6450996	22.4068871	12.2583246
NODE_147_length_10431_cov_84.739135	17.3558350	13.5224857	33.5774269	25.1287746	10.7452297	7.1466103	22.7350655	18.1174603	26.3102894	15.2729883
NODE_148_length_10385_cov_93.850893	19.3744583	13.0068378	36.5899048	27.1988831	11.0511417	7.6618509	26.5059223	20.6807289	28.9822788	18.5425205
NODE_149_length_10346_cov_92.587107	19.1389217	13.7093964	36.1197777	28.5327721	11.5140181	6.9958429	26.0292931	19.1754646	28.9290409	16.8808975
NODE_150_length_10335_cov_59.715149	13.0094843	9.9463854	22.1034546	17.6842155	7.9226751	4.5201778	16.4654026	12.8704147	18.7103462	11.3689156
NODE_151_length_10225_cov_83.457430	18.0921459	11.5356550	31.5311546	24.5852489	9.8716621	6.4309888	21.6461906	17.2494373	26.3274975	15.9677200
NODE_152_length_10123_cov_71.530858	16.9536610	9.9961462	26.4805851	22.4916515	8.6820469	5.4756446	19.8847942	14.3061953	22.8880539	12.0561209
NODE_153_length_9822_cov_8.091534	7.7188392	0.0000000	3.7059064	1.9038696	1.1287169	0.8497964	1.6874745	0.2137475	0.0606925	0.0000000
