/	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
Bin_1	0.1	0.0013	0.09	0.079	0.11	0.086	0.042	0.0097	0.00077	0.00031
Bin_1_haplo_0	0.12	NA	0.1	0.086	0.14	0.069	0.042	NA	NA	NA
Bin_1_haplo_1	0.069	NA	0.056	0.052	0.054	0.077	0.03	NA	NA	NA
Bin_2	0.14	0.66	0.36	0.37	0.49	0.43	0.56	0.61	0.63	0.54
Bin_2_haplo_0	0.078	0.65	0.25	0.21	0.34	0.31	0.37	0.31	0.3	0.49
Bin_2_haplo_1	0.066	0.11	0.13	0.16	0.17	0.11	0.2	0.26	0.24	0.14
Bin_2_haplo_2	0.18	0.65	0.42	0.44	0.5	0.5	0.64	0.7	0.77	0.59
Bin_8	0.63	0.12	0.35	0.39	0.23	0.37	0.14	0.14	0.12	0.18
Bin_8_haplo_0	0.83	NA	0.42	0.48	0.23	0.46	0.16	NA	0.13	0.2
Bin_8_haplo_1	0.42	NA	0.26	0.25	0.16	0.16	0.11	NA	0.066	0.16
