  0:00:00.000    24M / 24M   INFO    General                 (main.cpp                  : 134)   Starting SPAdes-based standalone graph simplifier, built from N/A, git revision N/A
  0:00:00.002    25M / 25M   INFO    General                 (main.cpp                  : 143)   K-mer length set to 77
  0:00:00.002    25M / 25M   INFO    General                 (main.cpp                  : 148)   # of threads to use: 8
  0:00:00.002    25M / 25M   INFO    General                 (main.cpp                  : 152)   Loading de Bruijn graph from subgraphs/bin_merged/Bin_8/raw_subgraphs/COG0541.gfa
  0:00:00.004    25M / 25M   INFO    General                 (utils.hpp                 :  35)   GFA segments: 13, links: 32
  0:00:00.004    25M / 25M   INFO    General                 (utils.hpp                 :  40)   Graph loaded. Total vertices: 52 Total edges: 26
  0:00:00.005    25M / 25M   INFO    General                 (main.cpp                  : 191)   Loading edge profiles from subgraphs/bin_merged/Bin_8/raw_subgraphs/COG0541.tsv
  0:00:00.006    25M / 25M   INFO    General                 (main.cpp                  : 194)   Sample count determined as 10
  0:00:00.007    25M / 25M   INFO    General                 (main.cpp                  : 204)   Loading stop codon positions from subgraphs/bin_merged/Bin_8/raw_subgraphs/COG0541.stops
  0:00:00.008    25M / 25M   INFO    General                 (main.cpp                  : 216)   Estimated mean coverage was specified as 79.285628
  0:00:00.008    25M / 25M   INFO    General                 (main.cpp                  : 230)   Erroneous connection coverage threshold set at 2.5
  0:00:00.008    25M / 25M   INFO    General                 (simplification.hpp        : 111)   Graph simplification started
  0:00:00.008    25M / 25M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 1
  0:00:00.008    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.019    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 0 times
  0:00:00.020    25M / 25M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 2
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 0 times
  0:00:00.020    25M / 25M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 3
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.020    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 0 times
  0:00:00.020    25M / 25M   INFO    General                 (simplification.hpp        : 143)   Unconditional coverage lower-bound set at 2
  0:00:00.020    25M / 25M   INFO    General                 (graph_simplification.hpp  : 456)   Disconnection of relatively low covered edges disabled
  0:00:00.021    25M / 25M   INFO    General                 (simplification.hpp        : 114)   PROCEDURE == Simplification cycle, iteration 1
  0:00:00.021    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Tip clipper
  0:00:00.021    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Tip clipper triggered 0 times
  0:00:00.021    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Low coverage edge remover with bounded length
  0:00:00.021    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Low coverage edge remover with bounded length triggered 0 times
  0:00:00.021    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 165)   Running Removing all edges with coverage below 2.000000
  0:00:00.021    25M / 25M   INFO   Simplification           (parallel_processing.hpp   : 167)   Removing all edges with coverage below 2.000000 triggered 0 times
  0:00:00.021    25M / 25M   INFO    General                 (main.cpp                  : 243)   Saving graph to subgraphs/bin_merged/Bin_8/simplif//COG0541
  0:00:00.023    25M / 25M   INFO    General                 (main.cpp                  : 253)   Saving GFA
  0:00:00.026    25M / 25M   INFO    General                 (main.cpp                  : 261)   Saving profile storage
  0:00:00.031    25M / 25M   INFO    General                 (main.cpp                  : 267)   Saving codons
  0:00:00.034    25M / 25M   INFO    General                 (main.cpp                  : 273)   Saving deadends
  0:00:00.037    25M / 25M   INFO    General                 (main.cpp                  : 286)   Finished
