/	Bin_2	Bin_2_haplo_0	Bin_2_haplo_1	Bin_2_haplo_2	gtdb_GCA_002412425.1
Bin_2	0	0.14	0.31	0.1	0.26
Bin_2_haplo_0	0.14	0	0.36	0.2	0.28
Bin_2_haplo_1	0.31	0.36	0	0.41	0.46
Bin_2_haplo_2	0.1	0.2	0.41	0	0.22
gtdb_GCA_002412425.1	0.26	0.28	0.46	0.22	0
