/	Bin_8	Bin_8_haplo_0	Bin_8_haplo_1	gtdb_GCA_002494495.1
Bin_8	0	0	0.07	0.55
Bin_8_haplo_0	0	0	0.07	0.55
Bin_8_haplo_1	0.07	0.07	0	0.55
gtdb_GCA_002494495.1	0.55	0.55	0.55	0
