Query	Subject	Evalue	PID	Subject_Pid	Coverage	Query_coverage
COG0016_0_1	COG0016	1.01e-121	0.3734	0.4448	1.191	0.7839
COG0048_0|COG0049_0|COG0048_1|COG0049_1_2	COG0048	2.17e-55	0.3913	0.4186	1.07	0.9718
COG0048_0|COG0049_0|COG0048_1|COG0049_1_3	COG0049	3.08e-61	0.4103	0.4324	1.054	0.8298
COG0048_0|COG0049_0|COG0048_1|COG0049_1_4	COG0480	5.39e-59	0.5349	0.099	0.1851	0.9556
COG0052_0|COG0052_1_2	COG0052	3.12e-71	0.3102	0.3016	0.9722	1.231
COG0060_0_2	COG0060	0	0.4309	0.4577	1.062	0.9411
COG0060_0_3	COG0046	5.02e-68	0.5813	0.1252	0.2153	1.013
COG0072_0|COG0072_1_1	COG0072	7.24e-142	0.2982	0.2569	0.8615	1.018
COG0080_0_1	COG0250	2.44e-12	0.3726	0.1067	0.2865	0.9107
COG0080_0_2	COG0080	3.5e-61	0.4203	0.4113	0.9787	0.8466
COG0081_0_2	COG0081	1.18e-70	0.4028	0.3816	0.9474	1.014
COG0081_0_3	COG0244	4.43e-29	0.3095	0.2229	0.72	0.863
COG0087_0|COG0087_1_1	COG2106	1.5e-82	0.4462	0.4265	0.9559	1.008
COG0087_0|COG0087_1_2	COG0087	7.09e-75	0.2993	0.3899	1.303	0.8427
COG0087_0|COG0087_1_3	COG0088	2.93e-40	0.3677	0.2336	0.6355	1.015
COG0088_0|COG0088_1_1	COG0087	3.57e-11	0.4359	0.07798	0.1789	0.619
COG0088_0|COG0088_1_2	COG0088	1.52e-65	0.344	0.4019	1.168	0.9506
COG0088_0|COG0088_1_3	COG0089	1.16e-24	0.3765	0.3404	0.9043	1
COG0089_0|COG0089_1_2	COG0089	3.8e-25	0.3721	0.3404	0.9149	0.9885
COG0090_0|COG0090_1_1	COG0090	1.48e-101	0.4897	0.4327	0.8836	1.004
COG0091_0|COG0091_1_1	COG0185	3.97e-36	0.5294	0.3871	0.7312	0.8831
COG0091_0|COG0091_1_2	COG0091	7.29e-41	0.3333	0.4083	1.225	0.9608
COG0091_0|COG0091_1_3	COG0092	1.19e-80	0.3348	0.3176	0.9485	0.9325
COG0092_0_1	COG0185	3.97e-36	0.5294	0.3871	0.7312	0.8831
COG0092_0_2	COG0091	7.29e-41	0.3333	0.4083	1.225	0.9608
COG0092_0_3	COG0092	1.72e-77	0.3348	0.3176	0.9485	0.574
COG0093_0|COG0093_1_1	COG0093	4.1e-43	0.456	0.4672	1.025	0.9398
COG0094_0|COG0094_1_1	COG1471	7.34e-88	0.5956	0.4523	0.7593	1
COG0094_0|COG0094_1_2	COG0094	2.67e-57	0.3798	0.3333	0.8778	0.9294
COG0094_0|COG0094_1_3	COG0096	3.81e-53	0.4286	0.4318	1.008	1.015
COG0096_0|COG0096_1_1	COG0094	7.23e-22	0.375	0.1333	0.3556	0.6337
COG0096_0|COG0096_1_2	COG0096	3.81e-53	0.4286	0.4318	1.008	1.015
COG0097_0|COG0097_1_1	COG0094	7.23e-22	0.375	0.1333	0.3556	0.6337
COG0097_0|COG0097_1_2	COG0096	3.81e-53	0.4286	0.4318	1.008	1.015
COG0097_0|COG0097_1_3	COG0097	3.84e-55	0.3584	0.3483	0.9719	0.901
COG0097_0|COG0097_1_4	COG1717	1.19e-50	0.6422	0.5263	0.8195	0.9909
COG0100_0|COG0102_0|COG0100_1|COG0102_1_1	COG0130	3.31e-11	0.2976	0.09225	0.31	0.8936
COG0100_0|COG0102_0|COG0100_1|COG0102_1_2	COG0099	9.63e-41	0.3566	0.4215	1.182	0.9533
COG0100_0|COG0102_0|COG0100_1|COG0102_1_3	COG0522	6.67e-38	0.2795	0.2195	0.7854	0.9148
COG0100_0|COG0102_0|COG0100_1|COG0102_1_4	COG0100	1.83e-39	0.4779	0.4186	0.876	0.8626
COG0100_0|COG0102_0|COG0100_1|COG0102_1_5	COG0202	3.04e-44	0.2141	0.2019	0.9432	1.124
COG0100_0|COG0102_0|COG0100_1|COG0102_1_6	COG1727	5.75e-50	0.5217	0.4918	0.9426	0.9664
COG0100_0|COG0102_0|COG0100_1|COG0102_1_7	COG0102	5.41e-36	0.425	0.3446	0.8108	0.8511
COG0100_0|COG0102_0|COG0100_1|COG0102_1_8	COG0103	8.47e-16	0.4386	0.1923	0.4385	0.9344
COG0103_0|COG0103_1_1	COG0130	3.31e-11	0.2976	0.09225	0.31	0.8936
COG0103_0|COG0103_1_2	COG0099	9.63e-41	0.3566	0.4215	1.182	0.9533
COG0103_0|COG0103_1_3	COG0522	6.67e-38	0.2795	0.2195	0.7854	0.9148
COG0103_0|COG0103_1_4	COG0100	1.83e-39	0.4779	0.4186	0.876	0.8626
COG0103_0|COG0103_1_5	COG0202	3.04e-44	0.2141	0.2019	0.9432	1.124
COG0103_0|COG0103_1_6	COG1727	5.75e-50	0.5217	0.4918	0.9426	0.9664
COG0103_0|COG0103_1_7	COG0102	5.41e-36	0.425	0.3446	0.8108	0.8511
COG0103_0|COG0103_1_8	COG0103	2.37e-50	0.4552	0.4692	1.031	1
COG0130_0|COG0130_1_1	COG0130	2.16e-105	0.431	0.4723	1.096	0.9252
COG0130_0|COG0130_1_2	COG0099	9.63e-41	0.3566	0.4215	1.182	0.9533
COG0130_0|COG0130_1_3	COG0522	6.67e-38	0.2795	0.2195	0.7854	0.9148
COG0130_0|COG0130_1_4	COG0100	1.83e-39	0.4779	0.4186	0.876	0.8626
COG0130_0|COG0130_1_5	COG0202	3.04e-44	0.2141	0.2019	0.9432	1.124
COG0130_0|COG0130_1_6	COG1727	5.75e-50	0.5217	0.4918	0.9426	0.9664
COG0130_0|COG0130_1_7	COG0102	5.41e-36	0.425	0.3446	0.8108	0.8511
COG0130_0|COG0130_1_8	COG0103	8.47e-16	0.4386	0.1923	0.4385	0.9344
COG0184_0|COG0184_1_1	COG0184	6.21e-31	0.33	0.3708	1.124	0.7463
COG0185_0|COG0185_1_1	COG0185	4.27e-44	0.4796	0.5054	1.054	0.7153
COG0185_0|COG0185_1_2	COG0091	7.29e-41	0.3333	0.4083	1.225	0.9608
COG0185_0|COG0185_1_3	COG0092	1.19e-80	0.3348	0.3176	0.9485	0.9325
COG0186_0|COG0186_1_2	COG0186	6.63e-34	0.4762	0.4598	0.9655	0.7925
COG0197_0_1	COG3640	3.23e-43	0.5043	0.2314	0.4588	1.009
COG0197_0_2	COG0197	6.71e-48	0.329	0.3425	1.041	0.9441
COG0198_0|COG0198_1_1	COG0198	1.04e-14	0.3049	0.2404	0.7885	0.6949
COG0198_0|COG0198_1_2	COG1471	3.58e-24	0.5818	0.1328	0.2282	0.9322
COG0200_0|COG0200_1_2	COG0200	7.94e-20	0.3091	0.2237	0.7237	0.7534
COG0200_0|COG0200_1_3	COG0201	1.06e-31	0.3138	0.1353	0.4312	1.074
COG0201_0|COG0201_1_2	COG0201	3.03e-96	0.282	0.3028	1.073	1.047
COG0244_0_1	COG0081	7.79e-57	0.422	0.3202	0.7588	1.018
COG0244_0_2	COG0244	5.09e-37	0.2857	0.32	1.12	0.5816
COG0256_0|COG0256_1_1	COG2147	1.14e-18	0.5439	0.2067	0.38	0.9828
COG0256_0|COG0256_1_2	COG0256	6.28e-39	0.378	0.384	1.016	0.6546
COG0256_0|COG0256_1_3	COG0098	6.07e-66	0.4451	0.4475	1.006	0.8426
COG0504_0|COG0504_1_1	COG0504	0	0.6236	0.6248	1.002	0.9944
COG0532_0_1	COG1358	3.64e-35	0.5049	0.4483	0.8879	0.8306
COG0532_0_2	COG2053	2.44e-30	0.7353	0.7246	0.9855	0.9855
COG0532_0_3	COG0105	2.88e-81	0.5852	0.5852	1	0.8824
COG0532_0_4	COG0532	1.55e-175	0.3444	0.389	1.13	0.9696
COG0532_0_5	COG2125	5.9e-47	0.5509	0.5417	0.9833	0.9291
COG0532_0_6	COG5257	0	0.6965	0.5253	0.7542	0.9843
COG0541_0_1	COG0541	0	0.4708	0.4656	0.9889	1.002
COG0016_1_1	COG0016	1.01e-121	0.3734	0.4448	1.191	0.7839
COG0060_1_2	COG0060	0	0.4309	0.4577	1.062	0.9411
COG0060_1_3	COG0046	5.02e-68	0.5813	0.1252	0.2153	1.013
COG0080_1_1	COG0250	2.44e-12	0.3726	0.1067	0.2865	0.9107
COG0080_1_2	COG0080	3.5e-61	0.4203	0.4113	0.9787	0.8466
COG0081_1_2	COG0081	1.18e-70	0.4028	0.3816	0.9474	1.014
COG0081_1_3	COG0244	4.43e-29	0.3095	0.2229	0.72	0.863
COG0092_1_1	COG0185	3.97e-36	0.5294	0.3871	0.7312	0.8831
COG0092_1_2	COG0091	7.29e-41	0.3333	0.4083	1.225	0.9608
COG0092_1_3	COG0092	3.9e-77	0.3348	0.3176	0.9485	0.5364
COG0197_1_1	COG3640	3.23e-43	0.5043	0.2314	0.4588	1.009
COG0197_1_2	COG0197	1.54e-46	0.3224	0.3356	1.041	0.9441
COG0244_1_1	COG0081	7.79e-57	0.422	0.3202	0.7588	1.018
COG0244_1_2	COG0244	3.78e-37	0.2857	0.32	1.12	0.5816
COG0532_1_1	COG1358	3.64e-35	0.5049	0.4483	0.8879	0.8306
COG0532_1_2	COG2053	2.44e-30	0.7353	0.7246	0.9855	0.9855
COG0532_1_3	COG0105	2.88e-81	0.5852	0.5852	1	0.8824
COG0532_1_4	COG0532	2.98e-174	0.3444	0.389	1.13	0.9696
COG0532_1_5	COG2125	5.9e-47	0.5509	0.5417	0.9833	0.9291
COG0532_1_6	COG5257	0	0.6965	0.5253	0.7542	0.9843
COG0541_1_1	COG0541	0	0.4731	0.4678	0.9889	1.002
