#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_513	4734394	268	N	N	2	*	*,513,-827
contig_466	4063178	31	N	N	1	*	-640,466,-640
contig_103	3460647	193	N	N	2	*	-529,103,-529
contig_527	2911390	252	N	N	2	*	529,527,529
contig_1	2356424	49	N	N	1	*	789,1,-789
contig_764	2157966	563	Y	N	5	*	764
contig_721	2150713	162	N	N	1	*	1408,721,-1408
contig_391	2084057	193	N	N	2	*	1386,391,1386
contig_225	2028352	158	Y	N	1	*	225
contig_1012	1891119	133	Y	N	1	*	1012
contig_84	577444	260	N	N	2	*	84
contig_790	492735	46	N	N	1	*	790
contig_472	430334	191	N	N	2	*	827,472,827
contig_685	429850	204	N	N	2	*	1386,685,1386
contig_318	414920	252	N	N	2	*	318,322,325
contig_446	393962	269	N	N	2	*	446
contig_118	384966	258	N	N	2	*	118
contig_128	371992	286	N	N	2	*	-129,128,*
contig_11	342997	260	N	N	2	*	-1327,11,-1313,348
contig_1237	310805	264	N	N	2	*	1237,1293
contig_763	295514	167	N	N	1	*	763
contig_1304	187116	270	N	N	2	*	1313,1304,-1278
contig_1383	178508	257	N	N	2	*	1353,1383
contig_34	164322	263	N	N	2	*	34,535,537,1353
contig_1315	146300	270	N	N	2	*	1315,1338
contig_1286	134166	263	N	N	2	*	1286
contig_1374	117048	5	N	N	1	*	*,1374,*
contig_638	116734	34	N	N	1	*	-640,638,-640
contig_1387	116283	6	N	N	1	*	*,1387,*
contig_1252	113568	268	N	N	2	*	-85,1252,-1313
contig_1345	111370	280	N	N	2	*	1345,-1279
contig_1015	110301	5	N	N	1	*	*,1015,*
contig_1427	110004	84	Y	N	1	*	1427
contig_805	109729	5	N	N	1	*	*,805,*
contig_5	108882	58	N	N	1	*	2,5,2
contig_202	108703	252	N	N	2	*	-523,202
contig_1317	107586	276	N	N	2	*	1313,1317
contig_303	102707	39	N	N	1	*	1353,303,328,329
contig_1349	102044	256	N	N	2	*	1349
contig_739	99353	255	N	N	2	*	739
contig_1420	96827	5	N	N	1	*	*,1420,1307,*
contig_1314	92138	279	N	N	2	*	1314,-1313
contig_1360	90818	251	N	N	2	*	1360
contig_327	90779	55	N	N	1	*	555,-361,327
contig_756	90424	5	N	N	1	*	*,756,*
contig_1253	88729	253	N	N	2	*	1253
contig_449	86374	5	N	N	1	*	*,449,*
contig_830	83930	5	N	N	1	*	*,830,*
contig_368	81523	4	N	N	1	*	*,368,*
contig_1418	81132	35	Y	N	1	*	1418
contig_63	80381	7	N	N	1	*	*,63,-145
contig_1250	79933	5	N	N	1	*	*,1250,*
contig_707	77709	264	N	N	2	*	707
contig_888	74975	5	N	N	1	*	*,888,*
contig_221	74559	5	N	N	1	*	*,221,*
contig_130	73226	282	N	N	2	*	-827,130,129
contig_39	72912	46	N	N	1	*	1338,39,462
contig_1246	72886	6	N	N	1	*	*,1246,*
contig_933	72519	6	N	N	1	*	*,933,*
contig_909	71666	5	N	N	1	*	*,909,*
contig_401	70387	4	N	N	1	*	*,401,*
contig_809	70377	5	N	N	1	*	*,809,*
contig_1441	70267	4	N	N	1	*	*,1441,*
contig_1240	69854	266	N	N	2	*	1240
contig_978	69826	5	N	N	1	*	*,978,*
contig_1426	68535	6	N	N	1	*	*,1426,*
contig_851	67736	6	N	N	1	*	*,851,*
contig_983	66880	5	N	N	1	*	*,983,*
contig_7	64964	80	N	N	1	*	-2,7,-1363
contig_1142	64917	4	N	N	1	*	*,1142,*
contig_457	64438	268	N	N	2	*	457,-85
contig_862	64227	5	N	N	1	*	*,862,*
contig_8	64132	58	N	N	1	*	8
contig_1431	63701	5	N	N	1	*	*,1431,*
contig_210	62988	5	N	N	1	*	*,210,*
contig_507	61765	4	N	N	1	*	*,507,*
contig_1235	61333	157	Y	N	1	*	1235
contig_1287	61315	204	Y	N	2	*	1287
