/	Bin_8_haplo_0	Bin_8_haplo_1	Bin_8	gtdb_GCA_002494495.1
Bin_8_haplo_0	0	0	0	0.6
Bin_8_haplo_1	0	0	0	0.6
Bin_8	0	0	0	0.6
gtdb_GCA_002494495.1	0.6	0.6	0.6	0
