Query	Subject	Evalue	PID	Subject_Pid	Coverage	Query_coverage
DACB01000009.1_6	COG2098	6.71e-53	0.5431	0.5431	1	0.9508
DACB01000009.1_7	COG3764	8.34e-27	0.36	0.2143	0.5952	0.5297
DACB01000009.1_9	COG1627	9.31e-16	0.25	0.06683	0.2673	0.8682
DACB01000009.1_10	COG1627	3.25e-23	0.1779	0.06921	0.389	0.5015
DACB01000009.1_11	COG1183	5.74e-39	0.3534	0.3504	0.9915	0.9667
DACB01000009.1_13	COG1077	7.39e-112	0.41	0.4064	0.9912	0.9469
DACB01000009.1_14	COG0164	4.41e-43	0.3427	0.3668	1.07	1.024
DACB01000009.1_15	COG3363	6.66e-81	0.4608	0.47	1.02	1.015
DACB01000009.1_16	COG1478	2.61e-108	0.5276	0.5214	0.9883	0.9961
DACB01000009.1_17	COG0391	4.21e-81	0.2977	0.2848	0.9567	1.027
DACB01000009.1_18	COG2429	1.9e-128	0.536	0.536	1	0.9843
DACB01000009.1_19	COG0042	3.72e-35	0.2769	0.2074	0.7492	0.968
DACB01000004.1_1	COG2226	2.32e-12	0.2237	0.2059	0.9202	0.7766
DACB01000004.1_2	COG2191	2.27e-52	0.3351	0.3058	0.9126	0.9792
DACB01000004.1_3	COG0725	2.15e-50	0.2601	0.2985	1.147	0.8362
DACB01000004.1_4	COG0555	1.44e-69	0.3708	0.3613	0.9745	1.011
DACB01000004.1_5	COG3842	1e-127	0.3966	0.3977	1.003	1.011
DACB01000004.1_6	COG2005	4.02e-18	0.3838	0.2923	0.7615	0.4286
DACB01000004.1_9	COG2218	6.71e-79	0.4569	0.4621	1.011	0.9889
DACB01000004.1_10	COG1229	0	0.5619	0.56	0.9965	1.005
DACB01000004.1_11	COG1029	0	0.5266	0.5315	1.009	0.9687
DACB01000004.1_12	COG1153	6.32e-39	0.4567	0.4531	0.9922	0.7056
DACB01000004.1_14	COG1143	8.02e-13	0.3677	0.1454	0.3953	0.1295
DACB01000004.1_15	COG1763	1.99e-38	0.4091	0.3913	0.9565	0.6553
DACB01000004.1_16	COG2896	8.4e-134	0.456	0.4348	0.9534	0.8822
DACB01000004.1_17	COG3383	0	0.4091	0.3957	0.9673	1.057
DACB01000004.1_18	COG1894	0	0.5532	0.5519	0.9976	0.6651
DACB01000004.1_19	COG0599	5.7e-13	0.2935	0.2177	0.7419	0.7603
DACB01000004.1_20	COG1526	2.22e-74	0.3462	0.3383	0.9774	1.036
DACB01000004.1_21	COG0794	1.37e-58	0.285	0.2822	0.9901	1.026
DACB01000004.1_23	COG0524	3.5e-59	0.2654	0.2637	0.9936	1.023
DACB01000004.1_24	COG0422	0	0.5173	0.5185	1.002	0.9908
DACB01000004.1_25	COG1384	0	0.4484	0.4587	1.023	1.009
DACB01000004.1_26	COG3350	3.79e-15	0.4898	0.4528	0.9245	0.98
DACB01000004.1_27	COG2217	0	0.457	0.4698	1.028	0.9049
DACB01000004.1_28	COG1228	1.47e-95	0.322	0.3276	1.017	1
DACB01000004.1_31	COG1786	3.43e-50	0.4809	0.4809	1	0.9632
DACB01000004.1_33	COG0015	0	0.485	0.4795	0.9886	0.9601
DACB01000004.1_35	COG1933	4.26e-136	0.5375	0.5375	1	0.2325
DACB01000004.1_36	COG1328	0	0.467	0.4757	1.019	0.9272
DACB01000004.1_37	COG0590	2.04e-35	0.4182	0.3026	0.7237	0.7237
DACB01000004.1_40	COG0585	4.59e-124	0.3669	0.3769	1.027	0.9976
DACB01000004.1_41	COG0107	1.72e-124	0.5415	0.5352	0.9883	0.9961
DACB01000004.1_42	COG1541	1.23e-147	0.3149	0.3242	1.03	1.009
DACB01000004.1_43	COG0546	1.03e-29	0.2732	0.2682	0.9818	0.9391
DACB01000004.1_44	COG0402	1.48e-135	0.4019	0.399	0.9929	0.9721
DACB01000004.1_45	COG0040	4.39e-120	0.4724	0.4724	1	1.01
DACB01000004.1_46	COG0179	4.91e-107	0.5505	0.4511	0.8195	0.8321
DACB01000004.1_47	COG0495	0	0.313	0.3403	1.087	0.9296
DACB01000004.1_48	COG1324	3.41e-36	0.4412	0.4327	0.9808	0.9714
DACB01000004.1_49	COG0171	1.24e-91	0.4232	0.4216	0.9963	0.9852
DACB01000004.1_50	COG0003	5.03e-109	0.4153	0.3882	0.9348	0.9039
DACB01000004.1_52	COG0168	2.92e-96	0.332	0.3327	1.002	1.008
DACB01000004.1_54	COG2241	6.02e-59	0.3913	0.3857	0.9857	0.9952
DACB01000004.1_55	COG0012	4.92e-136	0.3266	0.3495	1.07	1.005
DACB01000004.1_56	COG2509	0	0.478	0.4465	0.9342	0.9763
DACB01000004.1_57	COG0474	0	0.3945	0.3937	0.9978	0.9924
DACB01000004.1_58	COG1489	6.26e-77	0.4136	0.3872	0.9362	0.9322
DACB01000004.1_59	COG2710	2.75e-48	0.2057	0.1886	0.9167	1.161
DACB01000004.1_60	COG1208	1.41e-51	0.3196	0.2374	0.743	0.7917
DACB01000004.1_61	COG1973	0	0.5991	0.6058	1.011	1
DACB01000004.1_66	COG2814	7.06e-15	0.1751	0.1675	0.9569	0.9496
DACB01000004.1_68	COG1053	0	0.4767	0.4733	0.9929	1.007
DACB01000004.1_69	COG2024	0	0.5723	0.5317	0.9291	1.008
DACB01000004.1_70	COG1515	7.25e-60	0.3846	0.3774	0.9811	0.9204
DACB01000004.1_71	COG1339	1.71e-34	0.3704	0.2336	0.6308	1.038
DACB01000004.1_72	COG0108	3.83e-83	0.3604	0.3941	1.094	0.978
DACB01000004.1_74	COG1492	5.04e-50	0.1802	0.1914	1.062	1.03
DACB01000004.1_75	COG0154	1.28e-145	0.4181	0.419	1.002	1.021
DACB01000004.1_76	COG3503	1.47e-63	0.4137	0.3189	0.7709	0.9614
DACB01000004.1_77	COG1280	4.93e-20	0.201	0.1971	0.9808	0.9358
DACB01000004.1_78	COG4087	1.05e-43	0.4863	0.4671	0.9605	0.5489
DACB01000004.1_79	COG3548	9.72e-27	0.2804	0.269	0.9594	0.931
DACB01000004.1_80	COG2768	1.24e-163	0.545	0.565	1.037	0.9946
DACB01000004.1_81	COG1082	6.79e-24	0.2615	0.208	0.7956	0.8482
DACB01000004.1_82	COG1695	1.62e-20	0.3025	0.2609	0.8623	0.7438
DACB01000004.1_83	COG1131	4.02e-95	0.4427	0.3959	0.8942	0.7298
DACB01000004.1_84	COG0842	3.25e-29	0.3122	0.2413	0.7727	0.5681
DACB01000004.1_85	COG1520	4.66e-42	0.3062	0.2946	0.9622	0.8558
DACB01000004.1_86	COG1581	5.55e-41	0.6667	0.6593	0.989	0.9783
DACB01000004.1_87	COG2710	1.99e-84	0.303	0.2697	0.8904	0.9831
DACB01000004.1_88	COG0119	1.15e-179	0.5669	0.5697	1.005	0.8123
DACB01000004.1_89	COG1967	3.47e-60	0.4102	0.3875	0.9446	0.9446
DACB01000004.1_90	COG0613	1.02e-42	0.2778	0.2519	0.907	1.078
DACB01000004.1_91	COG4012	4.88e-110	0.3943	0.3655	0.9269	0.8544
DACB01000004.1_92	COG1350	0	0.6227	0.6227	1	1.002
DACB01000004.1_96	COG2006	2.27e-32	0.2417	0.273	1.13	0.9144
DACB01000004.1_98	COG2233	1.09e-34	0.2405	0.2373	0.9867	1.009
DACB01000004.1_99	COG0334	2.51e-179	0.4199	0.4404	1.049	0.9685
DACB01000004.1_100	COG2014	8.39e-29	0.2567	0.268	1.044	0.9158
DACB01000004.1_101	COG1415	4.7e-158	0.4526	0.4477	0.9893	0.9814
DACB01000004.1_102	COG1819	5.01e-30	0.1816	0.1798	0.9901	0.6872
DACB01000004.1_104	COG0379	8.21e-154	0.5584	0.5309	0.9506	1.01
DACB01000004.1_105	COG0005	2.33e-91	0.4641	0.4199	0.9046	0.8977
DACB01000004.1_106	COG1690	0	0.5163	0.5486	1.062	0.9503
DACB01000004.1_107	COG0531	5.9e-47	0.3222	0.309	0.9592	1.021
DACB01000004.1_108	COG1371	5.19e-47	0.4929	0.5037	1.022	0.9655
DACB01000004.1_110	COG1474	3.58e-89	0.3306	0.3306	1	0.9786
DACB01000004.1_113	COG1634	6.29e-86	0.4978	0.5	1.004	0.9395
DACB01000004.1_114	COG0075	7.35e-179	0.5093	0.5013	0.9843	0.9843
DACB01000004.1_115	COG1032	1.74e-64	0.2616	0.2408	0.9204	1
DACB01000004.1_116	COG0028	0	0.4128	0.4	0.9691	0.9963
DACB01000004.1_117	COG0717	8.27e-29	0.2857	0.2514	0.8798	1.066
DACB01000004.1_118	COG1926	1.55e-57	0.4087	0.3864	0.9455	0.832
DACB01000012.1_1	COG1890	2.1e-84	0.5078	0.4579	0.9019	0.9897
DACB01000012.1_2	COG1836	6.8e-55	0.3922	0.3684	0.9393	1.018
DACB01000012.1_3	COG3635	0	0.5362	0.527	0.9828	0.995
DACB01000012.1_4	COG1109	1.39e-155	0.4118	0.4073	0.9892	1.018
DACB01000012.1_5	COG1208	2.91e-110	0.4099	0.4637	1.131	0.9507
DACB01000012.1_6	COG0663	3.44e-67	0.5232	0.4489	0.858	0.9742
DACB01000012.1_7	COG0079	1.54e-123	0.389	0.3989	1.025	0.9946
DACB01000012.1_8	COG1180	4.21e-51	0.3158	0.2769	0.8769	0.9744
DACB01000012.1_9	COG0457	8.94e-13	0.3048	0.2818	0.9244	0.7577
DACB01000012.1_10	COG3543	7.87e-30	0.3462	0.3333	0.963	0.8904
DACB01000012.1_11	COG1268	2.45e-35	0.3687	0.3587	0.9728	0.8732
DACB01000012.1_12	COG4974	1.75e-82	0.3569	0.37	1.037	0.9904
DACB01000012.1_13	COG1067	4.23e-131	0.368	0.2628	0.7141	0.9167
DACB01000012.1_14	COG0358	6.61e-54	0.2494	0.1725	0.6919	1.01
DACB01000012.1_15	COG1658	3.07e-20	0.3171	0.3071	0.9685	0.8367
DACB01000012.1_17	COG0684	6.81e-54	0.3756	0.3524	0.9381	0.8914
DACB01000012.1_18	COG0392	5.5e-23	0.2045	0.1988	0.972	0.8719
DACB01000012.1_19	COG3277	1.35e-18	0.4177	0.3367	0.8061	0.8587
DACB01000012.1_20	COG1405	6.99e-149	0.6141	0.6421	1.046	0.8739
DACB01000012.1_21	COG4251	2.42e-79	0.4868	0.148	0.304	0.5241
DACB01000012.1_22	COG3874	1.35e-15	0.3	0.2826	0.942	0.9286
DACB01000012.1_23	COG4068	2.85e-11	0.3182	0.2187	0.6875	0.6984
DACB01000012.1_24	COG0528	1.22e-66	0.2975	0.3025	1.017	1.076
DACB01000012.1_25	COG1503	0	0.5766	0.5766	1	1
DACB01000012.1_28	COG0856	3.67e-80	0.5473	0.5419	0.9901	1.005
DACB01000012.1_29	COG0673	4.63e-80	0.307	0.307	1	1.075
DACB01000012.1_30	COG0181	2.05e-122	0.4573	0.4365	0.9544	1.01
DACB01000012.1_31	COG0770	7.48e-33	0.2432	0.2173	0.8936	0.9201
DACB01000012.1_32	COG0061	6.66e-94	0.4043	0.4057	1.004	1.007
DACB01000012.1_33	COG0483	6.46e-61	0.337	0.35	1.038	0.9747
DACB01000012.1_34	COG1945	1.12e-37	0.3654	0.3497	0.9571	1.054
DACB01000012.1_35	COG0231	6.03e-36	0.3023	0.2977	0.9847	0.9923
DACB01000012.1_36	COG0010	1.78e-78	0.3615	0.3508	0.9705	1.031
