Query	Subject	Evalue	PID	Subject_Pid	Coverage	Query_coverage
NODE_1_length_174676_cov_75.610868_60	COG0163	7.25e-99	0.5838	0.5654	0.9686	1.005
NODE_1_length_174676_cov_75.610868_122	COG0141	0	0.5376	0.5388	1.002	0.9884
NODE_1_length_174676_cov_75.610868_126	COG1465	0	0.5893	0.5878	0.9973	1
NODE_1_length_174676_cov_75.610868_161	COG0464	0	0.6248	0.6336	1.014	0.691
NODE_2_length_162612_cov_78.117187_80	COG0200	7.94e-20	0.3091	0.2237	0.7237	0.7534
NODE_2_length_162612_cov_78.117187_88	COG0094	2.67e-57	0.3798	0.3333	0.8778	0.9294
NODE_2_length_162612_cov_78.117187_91	COG0093	4.1e-43	0.456	0.4672	1.025	0.9398
NODE_3_length_156794_cov_85.676493_26	COG1222	0	0.6292	0.6059	0.9631	0.9537
NODE_4_length_156707_cov_15.332159_119	COG0367	1.11e-30	0.2734	0.1292	0.4723	0.7734
NODE_4_length_156707_cov_15.332159_142	COG1961	1.55e-34	0.3085	0.2793	0.9054	0.7821
NODE_5_length_138743_cov_15.678321_55	COG0388	1.02e-53	0.3086	0.2883	0.9343	0.9176
NODE_7_length_116193_cov_15.825812_100	COG0794	4.94e-40	0.2842	0.2574	0.9059	1.028
NODE_9_length_111157_cov_16.817258_70	COG1131	3.26e-98	0.4172	0.43	1.031	0.9934
NODE_11_length_105680_cov_79.303012_77	COG3269	3.62e-26	0.6029	0.5616	0.9315	0.8718
NODE_12_length_102272_cov_16.001243_13	COG1958	1.31e-16	0.3733	0.3544	0.9494	1.027
NODE_12_length_102272_cov_16.001243_35	COG0838	1.55e-18	0.3597	0.3333	0.9268	0.9421
NODE_16_length_61116_cov_84.262029_36	COG1476	1.78e-30	0.6364	0.6176	0.9706	0.6947
NODE_29_length_39564_cov_89.439512_7	COG1578	1.83e-106	0.4792	0.4842	1.011	1
NODE_31_length_37357_cov_13.731411_1	COG0488	3.24e-149	0.3694	0.3415	0.9245	1.023
NODE_31_length_37357_cov_13.731411_9	COG5012	3.05e-64	0.5562	0.4361	0.7841	0.8725
NODE_37_length_34206_cov_14.013595_23	COG3323	5.98e-23	0.3846	0.367	0.9541	0.9043
NODE_37_length_34206_cov_14.013595_32	COG0613	3.26e-27	0.3048	0.2209	0.7248	0.8539
NODE_45_length_29892_cov_79.173470_2	COG0413	3.41e-131	0.5437	0.5336	0.9813	0.9705
NODE_52_length_28942_cov_86.086333_10	COG1180	1.1e-44	0.3047	0.2731	0.8962	0.6833
NODE_67_length_24356_cov_78.907986_9	COG1930	3.48e-35	0.5521	0.5464	0.9897	0.9412
NODE_68_length_24288_cov_91.633266_1	COG1979	0	0.564	0.5625	0.9974	0.9922
NODE_78_length_21976_cov_14.470798_11	COG0609	2.87e-59	0.345	0.3533	1.024	0.9716
NODE_83_length_20414_cov_14.956582_11	COG1901	1.6e-73	0.4898	0.4873	0.9949	0.9949
NODE_112_length_15182_cov_64.197881_13	COG1250	7.06e-49	0.2796	0.2997	1.072	0.7377
NODE_139_length_11374_cov_87.003275_3	COG1668	7.21e-18	0.1917	0.2039	1.064	1.029
NODE_158_length_9333_cov_93.383967_2	COG1193	7.7e-30	0.3122	0.09163	0.2935	0.4794
NODE_159_length_9309_cov_82.216313_8	COG1916	2.19e-113	0.4386	0.433	0.9871	0.9623
NODE_273_length_3660_cov_11.465811_4	COG4096	2.33e-130	0.3303	0.208	0.6297	0.9048
NODE_367_length_1992_cov_3.307572_1	COG4889	0	0.4239	0.1891	0.446	1.021
NODE_1_length_174676_cov_75.610868_160	COG0287	2.95e-76	0.3162	0.3082	0.9749	0.6311
NODE_3_length_156794_cov_85.676493_25	COG1704	1.13e-79	0.5818	0.5189	0.8919	0.8967
NODE_3_length_156794_cov_85.676493_34	COG0769	9.82e-43	0.2082	0.2126	1.021	1.015
NODE_5_length_138743_cov_15.678321_43	COG0048	1.46e-54	0.3939	0.4031	1.023	0.9925
NODE_5_length_138743_cov_15.678321_49	COG3402	5.33e-23	0.2481	0.205	0.8261	0.7824
NODE_5_length_138743_cov_15.678321_50	COG3428	8.75e-27	0.1683	0.1721	1.022	1.002
NODE_5_length_138743_cov_15.678321_119	COG4050	3.1e-70	0.6014	0.5658	0.9408	0.9795
NODE_7_length_116193_cov_15.825812_31	COG1650	3.26e-62	0.3566	0.3647	1.023	0.9749
NODE_7_length_116193_cov_15.825812_90	COG1180	5.18e-76	0.3849	0.3731	0.9692	0.7613
NODE_9_length_111157_cov_16.817258_40	COG0061	3.07e-72	0.354	0.3452	0.9751	0.5102
NODE_11_length_105680_cov_79.303012_41	COG0622	1.72e-41	0.3806	0.343	0.9012	0.8708
NODE_13_length_68512_cov_85.489369_5	COG0039	2.52e-107	0.4243	0.4121	0.9712	1
NODE_13_length_68512_cov_85.489369_10	COG1849	5.77e-16	0.3333	0.2889	0.8667	1
NODE_14_length_68432_cov_66.540765_54	COG0436	7.88e-86	0.3051	0.3206	1.051	1.007
NODE_18_length_57661_cov_83.486854_19	COG1451	6.1e-28	0.2754	0.1704	0.6188	0.7225
NODE_30_length_38810_cov_89.773191_17	COG0811	2.28e-32	0.2864	0.2732	0.9537	0.9075
NODE_31_length_37357_cov_13.731411_12	COG5012	3.76e-55	0.4162	0.3612	0.8678	0.9292
NODE_35_length_35877_cov_118.067291_27	COG0199	4.47e-20	0.5714	0.5246	0.918	0.6222
NODE_39_length_31805_cov_92.274300_10	COG0236	4.48e-21	0.525	0.525	1	0.6957
NODE_40_length_31484_cov_80.441940_29	COG1796	7.38e-102	0.4074	0.4049	0.9939	0.5714
NODE_41_length_31138_cov_100.698754_11	COG0222	2.2e-27	0.5317	0.5403	1.016	0.9921
NODE_43_length_30340_cov_108.852394_13	COG1091	3.82e-128	0.4757	0.4875	1.025	1
NODE_47_length_29760_cov_14.955867_17	COG0352	3.45e-34	0.3103	0.2986	0.9621	0.9951
NODE_48_length_29403_cov_87.015549_3	COG2173	8.64e-28	0.2753	0.2322	0.8436	0.6568
NODE_56_length_26632_cov_79.162493_22	COG2122	6.51e-97	0.4816	0.4609	0.957	1.008
NODE_66_length_24400_cov_88.322904_2	COG1729	6.93e-12	0.2891	0.1412	0.4885	0.1214
NODE_82_length_20708_cov_87.430178_10	COG1778	1.04e-57	0.4533	0.4	0.8824	0.3886
NODE_97_length_17181_cov_75.643534_3	COG1132	3.2e-172	0.3575	0.3827	1.071	0.9984
NODE_114_length_15148_cov_9.917258_7	COG0286	1.14e-136	0.4058	0.4315	1.063	0.7172
NODE_116_length_14577_cov_97.124414_10	COG0531	5.69e-30	0.2377	0.2275	0.9571	1
NODE_124_length_13217_cov_102.314840_9	COG0845	3.21e-35	0.2513	0.2527	1.005	1.062
NODE_141_length_10909_cov_8.541544_4	COG0304	1.08e-86	0.2944	0.3058	1.039	1.017
NODE_148_length_10385_cov_93.850893_7	COG0714	1.53e-85	0.4133	0.3982	0.9635	0.9845
NODE_155_length_9642_cov_96.613905_3	COG3250	8.36e-128	0.3125	0.2723	0.8713	0.8351
NODE_208_length_5815_cov_16.029453_4	COG0399	2.19e-141	0.429	0.4198	0.9786	1.005
NODE_360_length_2130_cov_68.491476_1	COG2148	4.76e-83	0.4439	0.4204	0.9469	0.723
NODE_373_length_1851_cov_48.810034_2	COG2253	1.08e-25	0.2936	0.2868	0.9767	1
NODE_581_length_501_cov_22.625000_1	COG0451	3.46e-31	0.3465	0.1401	0.4045	0.9071
NODE_2_length_162612_cov_78.117187_6	COG1108	8.6e-55	0.3936	0.3577	0.9088	0.992
NODE_2_length_162612_cov_78.117187_134	COG1167	4.25e-141	0.3962	0.3203	0.8083	0.9345
NODE_3_length_156794_cov_85.676493_117	COG1202	0	0.4671	0.4783	1.024	1.012
NODE_6_length_125980_cov_87.281550_41	COG0044	4.52e-153	0.4444	0.4558	1.026	1.023
NODE_7_length_116193_cov_15.825812_21	COG0277	3.48e-139	0.3818	0.3834	1.004	0.9644
NODE_10_length_107865_cov_90.702212_35	COG1522	4.54e-29	0.3261	0.2922	0.8961	0.9452
NODE_10_length_107865_cov_90.702212_56	COG1148	0	0.6209	0.6399	1.031	0.9697
NODE_10_length_107865_cov_90.702212_62	COG0060	0	0.4309	0.4577	1.062	0.9411
NODE_11_length_105680_cov_79.303012_71	COG4066	4.69e-29	0.2788	0.2788	1	0.927
NODE_12_length_102272_cov_16.001243_52	COG3959	2.31e-128	0.5934	0.5885	0.9918	0.8638
NODE_13_length_68512_cov_85.489369_2	COG1035	2.22e-42	0.4121	0.2048	0.497	0.4545
NODE_13_length_68512_cov_85.489369_68	COG1941	1.93e-55	0.3128	0.3077	0.9838	0.7993
NODE_15_length_61306_cov_84.763935_26	COG0504	0	0.6236	0.6248	1.002	0.9944
NODE_16_length_61116_cov_84.262029_12	COG1067	4.23e-131	0.368	0.2628	0.7141	0.9167
NODE_18_length_57661_cov_83.486854_59	COG4051	3.55e-56	0.4199	0.3762	0.896	0.9476
NODE_35_length_35877_cov_118.067291_36	COG0361	5.6e-39	0.7083	0.68	0.96	0.9863
NODE_47_length_29760_cov_14.955867_12	COG0473	7.14e-126	0.4005	0.4339	1.083	1.005
NODE_50_length_29069_cov_79.463473_9	COG1770	1.45e-22	0.3958	0.05572	0.1408	0.8348
NODE_59_length_25699_cov_33.101163_16	COG1518	4.28e-24	0.3134	0.1927	0.6147	0.9481
NODE_60_length_25696_cov_87.296382_3	COG0509	2.03e-55	0.5469	0.5344	0.9771	1.008
NODE_61_length_25471_cov_92.689415_4	COG0108	3.83e-83	0.3604	0.3941	1.094	0.978
NODE_65_length_24649_cov_13.471268_20	COG3276	5.43e-50	0.2593	0.1879	0.7248	1.035
NODE_67_length_24356_cov_78.907986_25	COG0106	2.32e-103	0.4894	0.4772	0.9751	0.9671
NODE_76_length_22892_cov_94.898269_5	COG1136	2.38e-101	0.4888	0.4823	0.9867	1.018
NODE_88_length_18877_cov_14.061383_2	COG1209	2.15e-115	0.5058	0.4615	0.9126	0.9062
NODE_106_length_15625_cov_81.699961_3	COG0187	0	0.3563	0.3669	1.03	1.076
NODE_115_length_15064_cov_86.557283_5	COG4105	1.34e-21	0.2676	0.2244	0.8386	0.786
NODE_123_length_13522_cov_7.110450_5	COG0399	5.25e-103	0.2812	0.3075	1.094	0.917
NODE_192_length_6845_cov_56.803635_2	COG0463	7.02e-26	0.2143	0.2165	1.01	0.913
NODE_218_length_5389_cov_14.184676_5	COG1032	1.26e-13	0.2857	0.06531	0.2286	1.098
NODE_233_length_4841_cov_94.651553_2	COG0513	1.65e-161	0.376	0.3723	0.9903	0.8959
NODE_259_length_3886_cov_25.421896_4	COG1680	3.16e-43	0.2493	0.2308	0.9256	1.026
NODE_407_length_1385_cov_105.870795_1	COG1373	7.33e-31	0.2439	0.2764	1.133	0.9783
NODE_421_length_1234_cov_8.186690_2	COG1215	1.36e-25	0.3348	0.1754	0.5239	0.777
NODE_1_length_174676_cov_75.610868_120	COG2403	9.44e-162	0.3491	0.3608	1.033	1.009
NODE_2_length_162612_cov_78.117187_8	COG0803	1.4e-71	0.3322	0.33	0.9934	1.02
NODE_2_length_162612_cov_78.117187_29	COG0463	4.35e-26	0.285	0.2096	0.7354	0.2551
NODE_2_length_162612_cov_78.117187_101	COG0088	1.52e-65	0.344	0.4019	1.168	0.9506
NODE_3_length_156794_cov_85.676493_67	COG0599	1.54e-19	0.2453	0.2097	0.8548	0.9907
NODE_4_length_156707_cov_15.332159_92	COG1321	7.02e-44	0.3819	0.3571	0.9351	0.6154
NODE_4_length_156707_cov_15.332159_113	COG4717	6.4e-18	0.2235	0.07724	0.3455	0.4703
NODE_6_length_125980_cov_87.281550_134	COG0537	1.12e-22	0.2671	0.2826	1.058	0.9669
NODE_6_length_125980_cov_87.281550_136	COG1944	3.45e-115	0.3608	0.3518	0.9749	0.9773
NODE_7_length_116193_cov_15.825812_48	COG0097	2.28e-54	0.3785	0.3764	0.9944	0.962
NODE_7_length_116193_cov_15.825812_54	COG0093	1.04e-37	0.4634	0.4672	1.008	0.9248
NODE_9_length_111157_cov_16.817258_44	COG0608	2.75e-44	0.2243	0.2179	0.9715	1.072
NODE_9_length_111157_cov_16.817258_78	COG0252	7.87e-104	0.3627	0.3875	1.068	0.8701
NODE_11_length_105680_cov_79.303012_33	COG2238	2.28e-77	0.6054	0.6054	1	1.007
NODE_11_length_105680_cov_79.303012_81	COG4066	1.22e-43	0.362	0.3576	0.9879	0.9157
NODE_11_length_105680_cov_79.303012_86	COG2513	9.4e-52	0.324	0.2803	0.8651	0.9728
NODE_14_length_68432_cov_66.540765_18	COG4743	3.16e-35	0.3256	0.2658	0.8165	0.5397
NODE_16_length_61116_cov_84.262029_44	COG2042	3.62e-86	0.5444	0.514	0.9441	0.9941
NODE_26_length_43493_cov_69.576032_22	COG0607	2.62e-25	0.3556	0.2909	0.8182	0.7438
NODE_27_length_41000_cov_82.492266_24	COG1968	1.51e-74	0.3728	0.3852	1.033	1
NODE_34_length_36600_cov_71.846864_26	COG0095	3.05e-83	0.432	0.4355	1.008	0.7553
NODE_65_length_24649_cov_13.471268_2	COG0638	7.23e-62	0.4103	0.339	0.8263	0.9198
NODE_66_length_24400_cov_88.322904_14	COG0292	4.31e-46	0.5614	0.5424	0.9661	0.9913
NODE_69_length_24033_cov_113.446443_4	COG1519	1.41e-52	0.2291	0.2029	0.8854	0.9049
NODE_71_length_23597_cov_66.080230_9	COG0635	6.09e-101	0.3199	0.2861	0.8942	0.992
NODE_71_length_23597_cov_66.080230_20	COG0179	3.86e-70	0.4615	0.3383	0.7331	0.9559
NODE_74_length_23217_cov_90.457260_5	COG0149	2.65e-59	0.2749	0.2749	1	1.106
NODE_87_length_19394_cov_15.324377_18	COG0375	3.84e-23	0.3333	0.3565	1.07	0.9685
NODE_102_length_16317_cov_74.125554_7	COG0484	1.14e-17	0.5556	0.08086	0.1456	0.2222
NODE_114_length_15148_cov_9.917258_11	COG0338	1.34e-72	0.3882	0.4307	1.109	0.9712
NODE_122_length_13567_cov_86.434618_4	COG1077	2.58e-134	0.4895	0.4766	0.9737	0.9765
NODE_152_length_10123_cov_71.530858_9	COG0286	1.64e-39	0.2536	0.2147	0.8466	0.6263
NODE_155_length_9642_cov_96.613905_2	COG1283	1.79e-111	0.2778	0.3096	1.114	0.9786
NODE_156_length_9517_cov_83.913242_4	COG0101	1.72e-85	0.4081	0.4173	1.023	1.004
NODE_157_length_9394_cov_83.787163_7	COG0759	3.39e-35	0.5652	0.4239	0.75	0.7667
NODE_159_length_9309_cov_82.216313_2	COG1342	6.58e-42	0.495	0.495	1	0.5025
NODE_183_length_7234_cov_77.509292_6	COG5337	6.91e-13	0.2233	0.1459	0.6533	0.6131
NODE_196_length_6402_cov_122.286166_2	COG0216	0	0.5785	0.5785	1	1
NODE_203_length_6259_cov_5.953898_1	COG1032	3.1e-49	0.2531	0.2082	0.8224	0.9572
NODE_295_length_3173_cov_8.529716_3	COG0270	4.57e-85	0.345	0.3598	1.043	0.9716
NODE_358_length_2148_cov_89.019314_2	COG0286	6.32e-122	0.3836	0.4213	1.098	1
NODE_1_length_174676_cov_75.610868_131	COG0143	0	0.4745	0.4677	0.9857	0.8333
NODE_1_length_174676_cov_75.610868_147	COG2814	2.78e-19	0.2229	0.1777	0.797	0.6826
NODE_2_length_162612_cov_78.117187_107	COG0430	2.94e-136	0.4829	0.4956	1.026	0.9972
NODE_4_length_156707_cov_15.332159_13	COG0614	1.16e-17	0.1915	0.1975	1.031	0.8545
NODE_4_length_156707_cov_15.332159_84	COG1731	1.42e-85	0.6299	0.6299	1	0.9809
NODE_5_length_138743_cov_15.678321_23	COG0689	1.31e-92	0.4261	0.4261	1	0.9163
NODE_5_length_138743_cov_15.678321_115	COG1123	3.02e-138	0.2826	0.2894	1.024	1.03
NODE_6_length_125980_cov_87.281550_47	COG3640	1.43e-102	0.5212	0.5294	1.016	0.9848
NODE_6_length_125980_cov_87.281550_62	COG0753	0	0.5847	0.5706	0.9758	0.9622
NODE_7_length_116193_cov_15.825812_62	COG0090	2.98e-79	0.4298	0.3673	0.8545	1.004
NODE_7_length_116193_cov_15.825812_70	COG1469	3.26e-91	0.4068	0.4152	1.021	1
NODE_7_length_116193_cov_15.825812_104	COG0103	2.65e-38	0.4511	0.4615	1.023	1
NODE_8_length_112668_cov_91.537734_64	COG1693	7.06e-121	0.4568	0.4554	0.9969	0.5724
NODE_8_length_112668_cov_91.537734_104	COG0373	3.42e-131	0.3971	0.3961	0.9976	1.04
NODE_10_length_107865_cov_90.702212_23	COG0541	0	0.4708	0.4656	0.9889	1.002
NODE_11_length_105680_cov_79.303012_16	COG0717	8.27e-29	0.2857	0.2514	0.8798	1.066
NODE_12_length_102272_cov_16.001243_19	COG0461	1.59e-66	0.5311	0.4677	0.8806	0.9944
NODE_12_length_102272_cov_16.001243_36	COG0345	2.01e-83	0.3867	0.3722	0.9624	0.9961
NODE_16_length_61116_cov_84.262029_15	COG3543	7.87e-30	0.3462	0.3333	0.963	0.8904
NODE_20_length_53612_cov_15.351191_47	COG1056	1.98e-66	0.4643	0.4535	0.9767	0.913
NODE_22_length_46028_cov_91.703641_48	COG2303	5.5e-31	0.2059	0.2066	1.004	1.262
NODE_26_length_43493_cov_69.576032_5	COG1203	4.94e-37	0.2025	0.1801	0.8895	0.7771
NODE_27_length_41000_cov_82.492266_34	COG0078	5.77e-159	0.5443	0.5355	0.9839	1.003
NODE_28_length_40494_cov_90.345696_49	COG0778	6.98e-34	0.3122	0.3092	0.9903	1.206
NODE_30_length_38810_cov_89.773191_29	COG4657	2.93e-72	0.5526	0.544	0.9845	0.9948
NODE_35_length_35877_cov_118.067291_41	COG0202	1.2e-97	0.3956	0.3943	0.9968	0.9547
NODE_52_length_28942_cov_86.086333_2	COG1429	0	0.3517	0.3501	0.9957	0.6644
NODE_70_length_23870_cov_69.754760_1	COG2865	1.98e-55	0.2685	0.2334	0.8694	0.9902
NODE_75_length_23096_cov_79.401103_1	COG1359	5.42e-30	0.3441	0.32	0.93	0.9789
NODE_94_length_17947_cov_82.703581_16	COG1326	1.52e-49	0.4112	0.403	0.9801	0.9657
NODE_121_length_13568_cov_75.575421_11	COG3832	9.53e-13	0.3115	0.1275	0.4094	0.7821
NODE_122_length_13567_cov_86.434618_8	COG0772	4.73e-61	0.3118	0.3806	1.22	0.9728
NODE_124_length_13217_cov_102.314840_10	COG0841	0	0.3464	0.3499	1.01	0.9808
NODE_134_length_12151_cov_82.742587_2	COG2519	9.41e-100	0.4713	0.4492	0.9531	1.004
NODE_135_length_12064_cov_87.861266_2	COG0115	2.91e-71	0.343	0.3732	1.088	0.9062
NODE_142_length_10700_cov_74.727761_1	COG1092	1.19e-22	0.1879	0.1425	0.7583	1.035
NODE_210_length_5688_cov_105.782926_5	COG0349	5.94e-18	0.277	0.1136	0.41	0.7513
NODE_251_length_4111_cov_11.773922_2	COG0600	4.64e-59	0.3608	0.3566	0.9884	0.941
NODE_297_length_3033_cov_15.882612_2	COG1518	1.01e-31	0.2754	0.2324	0.844	0.8571
NODE_303_length_2961_cov_35.013523_1	COG4995	4.71e-42	0.2523	0.1976	0.7833	0.8773
NODE_589_length_493_cov_3.120192_1	COG1597	2.54e-29	0.3082	0.1628	0.5282	0.9695
NODE_1_length_174676_cov_75.610868_55	COG1773	3e-19	0.5962	0.5636	0.9455	0.9811
NODE_2_length_162612_cov_78.117187_52	COG0530	4.24e-38	0.3636	0.3375	0.9281	0.9252
