gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
ctg221_12x_c_1	3	572	570	-1	0.554	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_2	1106	1588	483	1	0.582	11	None	GENOMAD.032826.CC	1.105e-18	85	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_3	6861	7337	477	1	0.478	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_4	8040	9140	1101	1	0.495	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_5	9727	10911	1185	-1	0.543	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_6	10908	12089	1182	-1	0.578	11	None	GENOMAD.071260.PP	1.347e-06	53	0	0	0	1	NA	NA	NA	PF16259	NA
ctg221_12x_c_7	12091	13857	1767	-1	0.609	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_8	13970	14356	387	-1	0.633	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_9	14353	15456	1104	-1	0.609	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_10	15544	16053	510	-1	0.590	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_11	16050	16466	417	-1	0.635	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_12	16463	18004	1542	-1	0.632	11	AGGA	GENOMAD.086177.PP	5.328e-96	326	0	1	0	1	NA	NA	NA	PF19044;COG3505;TIGR00231	TraG P-loop domain
ctg221_12x_c_13	18019	19506	1488	-1	0.642	11	AGGAG	GENOMAD.061869.PP	3.594e-50	190	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_14	19507	21630	2124	-1	0.616	11	None	GENOMAD.061701.PP	1.947e-14	80	0	1	0	1	NA	NA	NA	COG3846	NA
ctg221_12x_c_15	21635	21976	342	-1	0.620	11	AGGAG	GENOMAD.091205.PP	1.984e-42	151	0	0	0	1	NA	NA	NA	PF19607	TrbC/VIRB2 pilin
ctg221_12x_c_16	22045	22659	615	1	0.554	11	None	GENOMAD.190049.VC	5.836e-27	111	0	0	0	1	NA	NA	NA	PF04525;COG4894	Uncharacterized protein YxjI, Tubby2 superfamily
ctg221_12x_c_17	22696	23391	696	-1	0.634	11	AGGA	GENOMAD.054398.PP	1.227e-50	181	0	0	0	1	NA	NA	NA	PF20373	NA
ctg221_12x_c_18	23406	24146	741	-1	0.575	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_19	24188	24643	456	-1	0.607	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_20	24640	25803	1164	-1	0.571	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_21	25800	25946	147	-1	0.571	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_22	25946	26575	630	-1	0.530	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_23	26747	26890	144	-1	0.507	11	AGGAG	GENOMAD.226275.VP	4.93e-05	40	0	0	0	1	NA	NA	NA	PF08667;COG5606;TIGR00673;K22299	Predicted DNA-binding protein, XRE-type HTH domain
ctg221_12x_c_24	27217	28176	960	-1	0.561	11	GGAG/GAGG	GENOMAD.222715.VP	6.522e-22	100	0	0	0	1	NA	NA	NA	NA	NA
ctg221_12x_c_25	29013	29858	846	1	0.563	11	GGAG/GAGG	GENOMAD.146024.CP	0.0001063	46	0	0	0	1	NA	NA	NA	PF00497;TIGR02285;COG0834;K02424	conserved hypothetical protein
