#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_59	5163995	739	N	N	4	*	61,60,62,59,61,-62,-60,-61
contig_24	5150364	135	N	N	1	*	14,24,-271,-264
contig_700	4209228	113	Y	N	1	*	700
contig_733	3463278	273	Y	N	1	*	733
contig_725	2913944	879	Y	N	4	*	725
contig_146	2851625	132	Y	N	1	*	146
contig_730	2448200	329	Y	N	1	*	730
contig_659	2158042	1618	Y	N	8	*	659
contig_456	2104140	494	N	N	2	*	-455,456,-457
contig_389	2028387	172	Y	N	1	*	389
contig_134	1905353	84	Y	N	1	*	134
contig_652	544885	6	N	N	1	*	*,652,*
contig_226	435927	146	N	N	1	*	226,-250
contig_132	429046	171	N	N	1	*	132
contig_684	424080	463	Y	N	2	*	684
contig_729	415297	6	N	N	1	*	*,729,*
contig_83	372842	155	N	N	1	*	83
contig_36	355153	156	N	N	1	*	36,-181,182
contig_176	332735	120	N	N	1	*	170,174,176,183
contig_351	311085	6	N	N	1	*	*,351,*
contig_701	309696	7	N	N	1	*	*,701,*
contig_136	306073	335	N	N	2	*	136
contig_145	277975	6	N	N	1	*	*,145,*
contig_37	276945	374	N	N	2	*	183,186,37
contig_211	275062	169	N	N	1	*	211
contig_246	272039	112	N	N	1	*	245,246
contig_225	259345	371	N	N	2	*	225,-258,-257
contig_135	220455	163	N	N	1	*	135
contig_716	217916	695	N	N	3	*	716
contig_175	214108	155	N	N	1	*	170,174,175,-182
contig_10	194269	148	N	N	1	*	689,224,10
contig_707	186313	4	N	N	1	*	*,707
contig_228	185105	371	N	N	2	*	228,237
contig_227	180617	143	N	N	1	*	-237,227
contig_179	175988	135	N	N	1	*	179
contig_255	172908	149	N	N	1	*	250,255
contig_213	163941	113	N	N	1	*	213
contig_31	162205	159	N	N	1	*	31
contig_99	158559	352	N	N	2	*	99
contig_96	152687	201	N	N	1	*	96
contig_256	152300	116	N	N	1	*	250,256
contig_161	152156	4	N	N	1	*	*,161,*
contig_408	149403	5	N	N	1	*	*,408,*
contig_214	148978	333	N	N	1	*	214
contig_180	147200	135	N	N	1	*	180,-182
contig_137	141343	4	N	N	1	*	*,137,*
contig_82	140304	381	N	N	2	*	82,85,-86,678,88,680
contig_15	134077	221	N	N	1	*	15
contig_69	130678	4	N	N	1	*	*,69,*
contig_105	130154	431	N	N	2	*	105
contig_347	128787	4	N	N	1	*	*,347,*
contig_206	128208	386	N	N	2	*	206
contig_277	123027	426	N	N	2	*	277,285,-354
contig_444	122616	4	N	N	1	*	*,444,*
contig_714	122514	808	N	N	4	*	457,714,455
contig_726	122295	144	Y	N	1	*	726
contig_355	122274	104	N	N	1	*	355,-354
contig_79	120901	4	N	N	1	*	*,79,*
contig_719	120527	4	N	N	1	*	*,719,*
contig_142	120303	392	N	N	2	*	142
contig_322	119898	3	N	N	1	*	*,322,*
contig_672	118692	150	N	N	1	*	672,-14
contig_365	114160	4	N	N	1	*	*,365,*
contig_420	113166	4	N	N	1	*	*,420,*
contig_696	110409	156	N	N	1	*	696,288
contig_658	110007	216	Y	N	1	*	658
contig_20	109808	432	N	N	2	*	20,-673
contig_699	105783	3	N	N	1	*	*,699,*
contig_706	105505	3	N	N	1	*	*,706,*
contig_173	105465	269	N	N	1	*	170,173
contig_341	105115	4	N	N	1	*	*,341,*
contig_272	104384	384	N	N	2	*	272
contig_712	99892	4	N	N	1	*	*,712,*
contig_147	99694	145	N	N	1	*	147
contig_361	99158	4	N	N	1	*	*,361,*
contig_115	99015	361	N	N	2	*	115,-219
contig_303	98775	217	N	N	1	*	303
contig_418	98683	3	N	N	1	*	*,418,*
contig_141	98042	129	N	N	1	*	141
contig_294	97873	346	N	N	2	*	294
contig_345	97606	3	N	N	1	*	*,345,*
contig_29	97484	147	N	N	1	*	29
contig_148	96829	339	N	N	2	*	148
contig_702	95211	4	N	N	1	*	*,702,*
contig_704	89122	4	N	N	1	*	*,704,*
contig_184	85719	111	N	N	1	*	183,184
contig_415	85329	6	N	N	1	*	*,415,*
contig_151	84880	4	N	N	1	*	*,151,*
contig_690	84301	371	N	N	1	*	-264,690
contig_222	84116	156	N	N	1	*	222,689
contig_546	83184	4	N	N	1	*	*,546,*
contig_575	83184	4	N	N	1	*	*,575,*
contig_138	81935	3	N	N	1	*	*,138,*
contig_129	79283	339	N	N	1	*	129
contig_687	78888	400	N	N	2	*	687
contig_94	78887	415	N	N	1	*	-680,-88,679,94
contig_676	78586	4	N	N	1	*	*,676,*
contig_386	77514	3	N	N	1	*	*,386,*
contig_192	77183	158	N	N	1	*	192
contig_475	76438	4	N	N	1	*	*,475,*
contig_293	75795	364	N	N	2	*	293
contig_242	75309	174	N	N	1	*	691,242,249,250
contig_663	75189	239	N	N	1	*	663
contig_509	75172	5	N	N	1	*	*,509,*
contig_669	75042	358	N	N	2	*	669
contig_369	74753	3	N	N	1	*	*,369,*
contig_401	74139	3	N	N	1	*	*,401,*
contig_223	73358	352	N	N	2	*	223,689
contig_315	73313	371	N	N	2	*	315
contig_299	72863	70	N	N	1	*	299,697
contig_359	72835	4	N	N	1	*	*,359,*
contig_380	71977	3	N	N	1	*	*,380,*
contig_454	71914	6	N	N	1	*	*,454,*
contig_95	70838	96	N	N	1	*	95
contig_416	70528	4	N	N	1	*	*,416,*
contig_549	69728	5	N	N	1	*	*,549,*
contig_230	69425	5	N	N	1	*	*,230,*
contig_577	69136	3	N	N	1	*	*,577,*
contig_611	68713	3	N	N	1	*	*,611,*
contig_195	67948	145	N	N	1	*	195,196
contig_329	67527	4	N	N	1	*	*,329,*
contig_164	67308	308	N	N	1	*	164,170
contig_421	66872	3	N	N	1	*	*,421,*
contig_477	66670	4	N	N	1	*	*,477,*
contig_727	66335	4	N	N	1	*	*,727,*
contig_391	65870	4	N	N	1	*	*,391,*
contig_47	65246	287	N	N	1	*	47
contig_332	65245	5	N	N	1	*	*,332,*
contig_378	65142	4	N	N	1	*	*,378,*
contig_325	64293	5	N	N	1	*	*,325,*
contig_598	63916	4	N	N	1	*	*,598,*
contig_111	62900	4	N	N	1	*	*,111,*
contig_717	61801	4	N	N	1	*	*,717,*
contig_422	61789	3	N	N	1	*	*,422,*
contig_160	61723	6	N	N	1	*	*,160,*
contig_671	61464	4	N	N	1	*	*,671,*
contig_728	61337	330	Y	N	2	*	728
contig_710	61294	246	Y	N	1	*	710
contig_464	60340	4	N	N	1	*	*,464,*
contig_334	60054	4	N	N	1	*	*,334,*
contig_566	59854	3	N	N	1	*	*,566,*
contig_500	59561	4	N	N	1	*	*,500,*
contig_290	59314	117	N	N	1	*	290,354
contig_459	59151	5	N	N	1	*	*,459,*
contig_410	59029	4	N	N	1	*	*,410,*
contig_715	58675	632	N	N	3	*	715
contig_472	58298	4	N	N	1	*	*,472,*
contig_532	58190	4	N	N	1	*	*,532,*
contig_153	57850	3	N	N	1	*	*,153,*
contig_720	57773	5	N	N	1	*	*,720,*
contig_550	57692	4	N	N	1	*	*,550,*
contig_229	57275	3	N	N	1	*	*,229,*
contig_587	56915	4	N	N	1	*	*,587,*
contig_438	56692	4	N	N	1	*	*,438,*
contig_510	56673	4	N	N	1	*	*,510,*
contig_327	55936	5	N	N	1	*	*,327,*
contig_664	55839	106	N	N	1	*	664,-21
contig_447	55663	5	N	N	1	*	*,447,*
contig_721	55504	3	N	N	1	*	*,721,*
contig_485	55137	4	N	N	1	*	*,485,*
contig_452	55091	4	N	N	1	*	*,452,*
contig_486	53925	4	N	N	1	*	*,486,*
contig_80	53599	5	N	N	1	*	*,80,*
contig_131	53363	360	N	N	1	*	131,196
contig_362	53358	4	N	N	1	*	*,362,*
contig_248	53216	107	N	N	1	*	245,692,248,250
contig_718	53150	4	N	N	1	*	*,718,*
contig_419	52882	3	N	N	1	*	*,419,*
contig_439	52695	5	N	N	1	*	*,439,*
contig_189	52361	184	N	N	1	*	189
contig_364	52334	3	N	N	1	*	*,364,*
contig_28	52037	35	N	N	1	*	28
contig_513	51443	4	N	N	1	*	*,513,*
contig_232	51414	340	N	N	1	*	232
contig_12	51163	5	N	N	1	*	*,12,*
contig_451	51156	3	N	N	1	*	*,451,*
contig_247	50911	81	N	N	1	*	245,692,247,249,250
contig_537	50730	5	N	N	1	*	*,537,*
contig_516	50616	3	N	N	1	*	*,516,*
contig_197	50550	124	N	N	1	*	197
contig_399	50412	3	N	N	1	*	*,399,*
contig_363	50107	4	N	N	1	*	*,363,*
contig_337	50104	3	N	N	1	*	*,337,*
contig_533	50095	4	N	N	1	*	*,533,*
contig_406	50024	4	N	N	1	*	*,406,*
contig_289	49913	164	N	N	1	*	-288,289,354
contig_112	49912	5	N	N	1	*	*,112,*
contig_534	49678	4	N	N	1	*	*,534,*
