/	Bin_2_haplo_0	Bin_2_haplo_1	Bin_2_haplo_2	Bin_2	gtdb_GCA_002412425.1
Bin_2_haplo_0	0	0.44	0.13	0.07	0.2
Bin_2_haplo_1	0.44	0	0.44	0.37	0.57
Bin_2_haplo_2	0.13	0.44	0	0.07	0.2
Bin_2	0.07	0.37	0.07	0	0.2
gtdb_GCA_002412425.1	0.2	0.57	0.2	0.2	0
