#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_3	5147749	1079	N	N	3	*	377,3,377
contig_334	4066321	126	N	N	1	*	334,-335,-444,-444
contig_222	3462510	717	Y	N	2	*	222
contig_223	2913274	756	Y	N	2	*	223
contig_198	2850246	179	Y	N	1	*	198
contig_1	2503109	815	Y	N	2	*	1
contig_375	2446510	641	Y	N	1	*	375
contig_376	2157819	2387	Y	N	6	*	376
contig_32	2153022	20	N	N	1	*	-30,32,-21,-18
contig_370	2028094	563	Y	N	1	*	370
contig_357	1904911	453	Y	N	1	*	357
contig_366	1855866	23	Y	N	1	*	366
contig_363	1800200	20	N	N	1	*	-30,35,-362,363,-35,30,-420,*
contig_34	1678412	21	N	N	1	*	-30,34,-18
contig_411	1502045	20	N	N	1	*	-12,-379,8,411,-449
contig_68	1456181	23	N	N	1	*	-47,-47,-46,-55,-59,68,-414,*
contig_77	901137	22	N	N	1	*	-54,-54,-54,-53,-52,-52,-51,-51,-56,-47,-47,-46,-55,77,-78
contig_373	863799	20	N	N	1	*	-12,373,374,*
contig_385	856670	19	N	N	1	*	-30,-28,-27,385
contig_33	793408	20	N	N	1	*	-30,33
contig_63	788485	21	N	N	1	*	48,49,63,-71
contig_62	747474	22	N	N	1	*	48,49,62,-78
contig_384	730581	20	N	N	1	*	18,21,384,25,27,28,30
contig_393	625414	23	N	N	1	*	-388,-43,393
contig_224	604615	30	N	N	1	*	-54,-54,-53,-52,-52,-52,-51,-51,-56,-47,-47,-46,-55,-55,-60,-59,224,*
contig_39	567537	21	N	N	1	*	-387,-38,39,-414,*
contig_11	567084	20	N	N	1	*	-12,-379,-7,11,371,-372
contig_323	525467	22	N	N	1	*	392,323,-319,*
contig_412	504570	22	N	N	1	*	-48,-165,412,443
contig_166	480538	22	N	N	1	*	442,166
contig_160	469526	20	N	N	1	*	*,160,161,-8,379,12
contig_396	457615	23	N	N	1	*	*,396
contig_148	456403	991	N	N	2	*	409,148,427,-418,187,188
contig_67	445274	22	N	N	1	*	-54,-54,-54,-54,-53,-52,-52,-51,-51,-56,-47,-47,-46,-55,67,*
contig_29	428957	21	N	N	1	*	-30,-28,29,*
contig_171	411227	21	N	N	1	*	-54,-54,-54,171,*
contig_173	402422	21	N	N	1	*	-54,-54,-45,66,-80,-79,81,173
contig_26	398338	19	N	N	1	*	-30,-28,-27,-25,26,-162,-8,379,12
contig_2	389789	762	N	N	2	*	377,2,377
contig_382	363548	21	N	N	1	*	382,-12
contig_361	363306	19	N	N	1	*	-12,-379,8,162,361,362,-35,30
contig_180	340898	1019	N	N	2	*	-440,180,-431
contig_383	327493	20	N	N	1	*	18,383,-381
contig_347	324840	20	N	N	1	*	-372,-371,347,*
contig_403	323038	1026	N	N	2	*	403
contig_239	320505	1035	N	N	2	*	239
contig_406	298005	1041	N	N	2	*	406
contig_391	296520	21	N	N	1	*	48,49,391
contig_168	295874	24	N	N	1	*	-48,-165,170,168,*
contig_58	294371	22	N	N	1	*	442,58,55,55,46,47,51,52,52,52,52,52,53,54,54,54,54
contig_430	294018	997	N	N	2	*	271,430
contig_42	283270	23	N	N	1	*	48,49,42
contig_402	246359	1042	N	N	3	*	228,402
contig_425	242492	22	N	N	1	*	392,425
contig_163	239070	17	N	N	1	*	-13,-379,8,163,-449
contig_404	237875	1010	N	N	2	*	404
contig_397	220456	988	N	N	2	*	397
contig_41	213802	20	N	N	1	*	387,-38,41,51,52,52,53,54,54,54
contig_167	195526	22	N	N	1	*	167,79,80,-66,45,55,46,47,47
contig_447	191862	19	N	N	1	*	83,447,-83
contig_419	183514	993	N	N	2	*	419,413
contig_434	179658	1041	N	N	2	*	431,434
contig_421	166452	17	N	N	1	*	*,420,421,*
contig_394	164630	21	N	N	1	*	-54,-54,-54,-53,-52,-52,-51,-56,-47,-47,-46,-55,-45,394,-170
contig_217	150100	1006	N	N	2	*	217
contig_73	140218	21	N	N	1	*	-54,-54,-53,-52,-52,-51,-56,-47,-47,-46,-55,73,165,48
contig_429	135027	1008	N	N	2	*	429
contig_380	134547	21	N	N	1	*	380
contig_121	120373	250	N	N	1	*	121,405
contig_336	119806	150	N	N	1	*	444,444,336
contig_105	118008	352	N	N	1	*	400,105,314,-433,431
contig_435	113262	1046	N	N	2	*	435,436
contig_424	112549	1034	N	N	2	*	-422,424,-431
contig_450	110000	354	Y	N	1	*	450
contig_164	109924	183	N	N	1	*	164,413
