contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NODE_1_length_174676_cov_75.610868.0,-2.49407173e+00,2.28988720e+00,-2.83422245e+00,1.18527815e+00,5.25951212e-01,6.21025958e-01,-3.69181823e-01,-1.03177788e-01,-5.00305261e-01,2.57299225e-01,6.07876725e-01,-1.56883616e-01,-5.52206977e-01,2.60267933e-01,9.35277012e-02,4.34391543e-01,-3.02439104e-02,-3.54894913e-01,7.27148438e-01,3.06892752e-01,-3.82041397e-01
NODE_1_length_174676_cov_75.610868.1,7.87726610e-01,4.28053570e+00,-5.22770751e-01,-1.63737557e-01,-3.84776856e-01,3.25268349e-01,-5.91588407e-01,5.86236224e-01,-6.77257158e-02,2.44066569e-01,-1.91421323e-01,-2.61439933e-01,-2.83678700e-01,1.39689238e-01,-3.22260584e-01,-2.80930163e-01,-2.86015427e-01,1.67721594e-01,-1.51926036e-02,-2.95948658e-02,3.05814642e-01
NODE_1_length_174676_cov_75.610868.2,-7.32378461e-01,3.94977310e+00,-1.62087280e+00,-4.68515567e-01,3.79273744e-01,-1.78421029e-02,2.68479680e-01,1.67065467e-01,8.95443605e-02,2.34379436e-01,-4.86156741e-01,-1.04857755e-01,3.90168876e-01,-2.97539108e-01,2.01186981e-01,-5.19773393e-02,5.40137214e-01,3.08684736e-01,-2.52700904e-01,1.84266026e-01,-3.99410813e-01
NODE_1_length_174676_cov_75.610868.3,5.15157141e-02,4.52175493e+00,-6.34884917e-01,-3.80299283e-01,3.48184686e-01,-1.21773322e-01,7.39215963e-02,2.39058290e-02,8.33459392e-02,1.66545534e-01,-3.05451157e-02,-4.53416412e-02,-4.73852948e-03,-2.48231517e-01,-4.54947467e-01,1.11108454e-01,6.37631065e-02,-3.13977612e-01,-9.89551572e-02,1.47826583e-01,-2.04440956e-01
NODE_1_length_174676_cov_75.610868.4,8.20149623e-01,4.56439492e+00,-1.62696933e-01,-7.04519044e-01,1.54561809e-01,6.58135327e-02,5.32562983e-02,5.51288935e-01,3.63211289e-02,-1.24921359e-02,-3.87623025e-01,-2.50493395e-01,6.78670327e-02,2.65326728e-01,-4.28461704e-01,-2.45041358e-02,-1.35427366e-01,-4.34665456e-01,-5.89461713e-01,-9.45356317e-02,-1.32986592e-01
NODE_1_length_174676_cov_75.610868.5,1.54027003e+00,4.26252490e+00,5.36405611e-01,-3.11755981e-01,-8.20776698e-01,-2.63701239e-01,-1.83488524e-02,1.71504691e-02,-1.42706246e-01,-1.87995080e-01,-1.95770402e-01,-4.05432796e-01,1.01207922e-01,8.15227068e-02,-6.30868025e-02,-4.16824896e-02,-2.05966584e-02,-3.75109546e-01,-1.60212458e-02,2.41239160e-01,4.72948611e-01
NODE_1_length_174676_cov_75.610868.6,-9.19341293e-01,3.80606319e+00,-1.74615618e+00,-1.79461292e-01,1.29542969e-01,1.05147825e-01,-1.02883646e-01,1.15622339e-02,2.62775870e-01,6.29311212e-01,1.19567471e-01,-5.12399493e-02,4.80188349e-01,2.68435177e-01,-7.65087305e-02,-3.12169591e-01,3.72488805e-01,2.66663974e-01,-3.30101743e-01,-3.43388510e-01,-3.76422199e-01
NODE_1_length_174676_cov_75.610868.7,1.60792452e+00,4.18513066e+00,4.14919309e-01,-1.30179794e+00,-8.90690135e-02,6.30749557e-01,2.58564560e-01,1.14229814e-01,-2.83142052e-01,1.04985702e-01,-2.76478221e-01,1.01913835e-01,-8.54027233e-01,8.24965036e-01,1.45077144e-01,3.00519851e-01,-3.49397648e-01,3.68163718e-02,-4.44941137e-01,-2.01944347e-01,-6.27173261e-02
NODE_1_length_174676_cov_75.610868.8,1.00671639e+00,4.28419642e+00,1.63042321e-02,-7.38926344e-01,2.94663531e-01,-3.99024038e-01,3.78659696e-01,7.75055553e-01,-1.84418038e-01,-6.05957382e-01,-6.44408336e-02,4.15130586e-01,3.26149421e-01,-1.98801205e-02,5.79983290e-02,-5.18287372e-02,2.35291247e-01,-4.90816180e-01,1.64372216e-01,3.16844919e-01,1.33583986e-01
NODE_1_length_174676_cov_75.610868.9,6.02975583e-01,3.82678806e+00,7.07860961e-03,-1.91312031e-01,-2.34170485e-01,-1.39580152e-01,-4.03273412e-02,-3.01155097e-01,2.89087092e-01,2.35234778e-01,-1.56720893e-01,-4.55301615e-01,3.17832464e-01,-3.13857817e-01,4.97501455e-02,-9.29862122e-02,-1.28394527e-03,5.00376721e-01,-2.91683318e-02,-6.06122877e-02,-2.33129267e-01
NODE_1_length_174676_cov_75.610868.10,2.79562713e-01,4.23670100e+00,2.38583577e-01,-4.99961109e-01,2.13853263e-01,2.34680383e-01,1.40904796e-01,-6.86961294e-01,-4.48930946e-01,3.17859647e-01,-5.62085100e-02,1.59744579e-01,-4.02928571e-01,-2.63110709e-01,1.68654088e-01,9.38372869e-02,1.46105119e-02,-2.34751945e-02,4.44290670e-01,-8.36368907e-02,-2.62627809e-01
